time,X,Y
0.040662,1.0416666667,1
0.139757,1.7604166667,2
0.144357,1.1901041667,1
0.145341,1.0475260417,1
0.145401,1.0118815104,1
0.148465,1.0029703776,1
0.149418,1.0007425944,1
0.150633,1.0001856486,1
0.152023,1.0000464122,1
0.153318,1.000011603,1
0.153372,1.0000029008,1
0.154889,1.0000007252,1
0.156371,1.0000001813,1
0.157368,1.0000000453,1
0.158938,1.0000000113,1
0.165031,1.0000000028,1
0.166581,1.0000000007,1
0.167856,1.0000000002,1
0.169457,1,1
0.174872,1,1
0.176419,1,1
0.177009,1,1
0.17804,1,1
0.240422,1.75,2
0.241229,1.1875,1
0.2431,1.796875,2
0.24321,1.19921875,1
0.244679,1.0498046875,1
0.24568,1.0124511719,1
0.246152,1.003112793,1
0.247518,1.0007781982,1
0.250075,1.7501945496,2
0.340048,2.6875486374,3
0.340241,1.4218871593,1
0.341656,1.1054717898,1
0.350928,2.5263679475,3
0.446566,2.1315919869,2
0.450654,1.2828979967,1
0.539604,1.0707244992,1
0.642711,2.5176811248,3
0.650294,2.1294202812,2
0.746174,5.0323550703,6
0.754831,3.5080887676,3
0.845964,6.1270221919,7
0.954737,4.531755548,4
0.954783,4.132938887,4
0.95479,3.2832347217,3
0.954797,3.0708086804,3
0.95482,3.0177021701,3
0.954927,3.0044255425,3
0.954977,3.0011063856,3
0.954985,3.0002765964,3
0.954992,3.0000691491,3
0.955,3.0000172873,3
0.955008,3.0000043218,3
0.955017,2.2500010805,2
0.955028,2.0625002701,2
0.955038,2.0156250675,2
0.955046,2.0039062669,2
0.955056,2.0009765667,2
0.955065,2.0002441417,2
0.955075,2.0000610354,2
0.955086,2.0000152589,2
0.955095,1.2500038147,1
0.959302,2.5625009537,3
1.042257,1.3906252384,1
1.046227,1.8476563096,2
1.051812,3.4619140774,4
1.145451,5.3654785194,6
1.150205,3.5913696298,3
1.34315,4.6478424075,5
1.452836,4.1619606019,4
1.452869,3.2904901505,3
1.452928,3.0726225376,3
1.452942,3.0181556344,3
1.452953,3.0045389086,3
1.452963,2.2511347272,2
1.452976,2.0627836818,2
1.452988,2.0156959204,2
1.453,2.0039239801,2
1.453014,2.000980995,2
1.453024,2.0002452488,2
1.453063,2.0000613122,2
1.453173,2.000015328,2
1.4532,2.000003832,2
1.453214,1.250000958,1
1.453226,1.0625002395,1
1.453239,1.0156250599,1
1.453288,1.003906265,1
1.45427,1.0009765662,1
1.461085,3.2502441416,4
1.650046,3.0625610354,3
1.841482,3.7656402588,4
1.842604,2.4414100647,2
1.942213,3.6103525162,4
1.947279,2.402588129,2
1.951818,3.6006470323,4
2.046093,2.4001617581,2
2.050282,2.1000404395,2
2.142485,2.7750101099,3
2.341914,4.4437525275,5
2.345135,2.6109381319,2
2.347715,3.652734533,4
2.350623,3.1631836332,3
2.443683,6.0407959083,7
2.546564,3.0101989771,2
2.555463,2.2525497443,2
2.650659,2.8131374361,3
2.742323,4.453284359,5
2.745547,2.6133210898,2
2.842939,5.1533302724,6
2.849056,5.0383325681,5
3.042118,5.009583142,5
3.053471,3.5023957855,3
3.139859,3.1255989464,3
3.240992,3.7813997366,4
3.252664,3.9453499341,4
3.541465,3.9863374835,4
3.543438,3.2465843709,3
3.551116,6.0616460927,7
3.646582,7.5154115232,8
3.740861,4.1288528808,3
3.742401,2.5322132202,2
3.747175,3.633053305,4
3.751951,1.6582633263,1
3.840618,2.6645658316,3
3.849713,2.1661414579,2
4.042534,1.2915353645,1
4.0484,3.3228838411,4
4.048435,3.8307209603,4
4.048447,3.9576802401,4
4.053136,3.23942006,3
4.141151,1.559855015,1
4.146839,3.3899637538,4
4.146855,3.8474909384,4
4.146875,3.9618727346,4
4.249306,5.4904681837,6
4.249335,5.8726170459,6
4.249345,5.2181542615,5
4.249522,5.8045385654,6
4.249534,5.2011346413,5
4.249549,5.0502836603,5
4.249562,5.0125709151,5
4.249575,5.0031427288,5
4.249586,5.0007856822,5
4.249599,5.0001964205,5
4.249634,5.0000491051,5
4.249646,5.0000122763,5
4.249656,5.0000030691,5
4.249664,5.0000007673,5
4.249688,5.0000001918,5
4.24985,4.250000048,4
4.249861,4.062500012,4
4.249874,4.015625003,4
4.249887,4.0039062507,4
4.249913,4.0009765627,4
4.249939,4.0002441407,4
4.249968,4.0000610352,4
4.249981,3.2500152588,3
4.250052,3.0625038147,3
4.250095,3.0156259537,3
4.250107,3.0039064884,3
4.250154,3.0009766221,3
4.250166,3.0002441555,3
4.250179,3.0000610389,3
4.250204,3.0000152597,3
4.250215,2.2500038149,2
4.250225,2.0625009537,2
4.250238,2.0156252384,2
4.250264,2.0039063096,2
4.250275,2.0009765774,2
4.250285,2.0002441444,2
4.250297,2.0000610361,2
4.250322,2.000015259,2
4.250372,2.0000038148,2
4.250449,2.0000009537,2
4.250473,2.0000002384,2
4.250483,2.0000000596,2
4.250492,2.0000000149,2
4.250504,1.2500000037,1
4.250522,1.0625000009,1
4.250871,1.0156250002,1
4.443634,2.5039062501,3
4.551184,2.1259765625,2
