date,address,latitude,longitude,bph
2014-01-01,Chai Nat Rice Seed Center 1,15.348,99.597,2
2014-01-02,Chai Nat Rice Seed Center 1,15.348,99.597,1
2014-01-03,Chai Nat Rice Seed Center 1,15.348,99.597,6
2014-01-04,Chai Nat Rice Seed Center 1,15.348,99.597,1
2014-01-05,Chai Nat Rice Seed Center 1,15.348,99.597,5
2014-01-06,Chai Nat Rice Seed Center 1,15.348,99.597,3
2014-01-07,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-08,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-09,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-10,Chai Nat Rice Seed Center 1,15.348,99.597,1
2014-01-11,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-12,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-13,Chai Nat Rice Seed Center 1,15.348,99.597,1
2014-01-14,Chai Nat Rice Seed Center 1,15.348,99.597,2
2014-01-15,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-16,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-17,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-18,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-19,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-20,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-21,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-22,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-23,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-01-24,Chai Nat Rice Seed Center 1,15.348,99.597,1
2014-01-25,Chai Nat Rice Seed Center 1,15.348,99.597,2
2014-01-26,Chai Nat Rice Seed Center 1,15.348,99.597,1
2014-01-27,Chai Nat Rice Seed Center 1,15.348,99.597,8
2014-01-28,Chai Nat Rice Seed Center 1,15.348,99.597,72
2014-01-29,Chai Nat Rice Seed Center 1,15.348,99.597,81
2014-01-30,Chai Nat Rice Seed Center 1,15.348,99.597,97
2014-01-31,Chai Nat Rice Seed Center 1,15.348,99.597,13
2014-02-01,Chai Nat Rice Seed Center 1,15.348,99.597,0
2014-02-02,Chai Nat Rice Seed Center 1,15.348,99.597,106
2014-02-03,Chai Nat Rice Seed Center 1,15.348,99.597,42
2014-02-04,Chai Nat Rice Seed Center 1,15.348,99.597,20
2014-02-05,Chai Nat Rice Seed Center 1,15.348,99.597,160
