date,address,latitude,longitude,bph
2014-01-01,Chai Nat Rice research Center,15.198,100.137,2
2014-01-02,Chai Nat Rice research Center,15.198,100.137,1
2014-01-03,Chai Nat Rice research Center,15.198,100.137,6
2014-01-04,Chai Nat Rice research Center,15.198,100.137,1
2014-01-05,Chai Nat Rice research Center,15.198,100.137,5
2014-01-06,Chai Nat Rice research Center,15.198,100.137,3
2014-01-07,Chai Nat Rice research Center,15.198,100.137,0
2014-01-08,Chai Nat Rice research Center,15.198,100.137,0
2014-01-09,Chai Nat Rice research Center,15.198,100.137,0
2014-01-10,Chai Nat Rice research Center,15.198,100.137,1
2014-01-11,Chai Nat Rice research Center,15.198,100.137,0
2014-01-12,Chai Nat Rice research Center,15.198,100.137,0
2014-01-13,Chai Nat Rice research Center,15.198,100.137,1
2014-01-14,Chai Nat Rice research Center,15.198,100.137,2
2014-01-15,Chai Nat Rice research Center,15.198,100.137,0
2014-01-16,Chai Nat Rice research Center,15.198,100.137,0
2014-01-17,Chai Nat Rice research Center,15.198,100.137,0
2014-01-18,Chai Nat Rice research Center,15.198,100.137,0
2014-01-19,Chai Nat Rice research Center,15.198,100.137,0
2014-01-20,Chai Nat Rice research Center,15.198,100.137,0
2014-01-21,Chai Nat Rice research Center,15.198,100.137,0
2014-01-22,Chai Nat Rice research Center,15.198,100.137,0
2014-01-23,Chai Nat Rice research Center,15.198,100.137,0
2014-01-24,Chai Nat Rice research Center,15.198,100.137,1
2014-01-25,Chai Nat Rice research Center,15.198,100.137,2
2014-01-26,Chai Nat Rice research Center,15.198,100.137,1
2014-01-27,Chai Nat Rice research Center,15.198,100.137,8
2014-01-28,Chai Nat Rice research Center,15.198,100.137,72
2014-01-29,Chai Nat Rice research Center,15.198,100.137,81
2014-01-30,Chai Nat Rice research Center,15.198,100.137,97
2014-01-31,Chai Nat Rice research Center,15.198,100.137,13
2014-02-01,Chai Nat Rice research Center,15.198,100.137,0
2014-02-02,Chai Nat Rice research Center,15.198,100.137,106
2014-02-03,Chai Nat Rice research Center,15.198,100.137,42
2014-02-04,Chai Nat Rice research Center,15.198,100.137,20
2014-02-05,Chai Nat Rice research Center,15.198,100.137,160
2014-02-06,Chai Nat Rice research Center,15.198,100.137,700
2014-02-07,Chai Nat Rice research Center,15.198,100.137,17
2014-02-08,Chai Nat Rice research Center,15.198,100.137,116
2014-02-09,Chai Nat Rice research Center,15.198,100.137,112
2014-02-10,Chai Nat Rice research Center,15.198,100.137,186
2014-02-11,Chai Nat Rice research Center,15.198,100.137,15
2014-02-12,Chai Nat Rice research Center,15.198,100.137,1
2014-02-13,Chai Nat Rice research Center,15.198,100.137,10
2014-02-14,Chai Nat Rice research Center,15.198,100.137,9
2014-02-15,Chai Nat Rice research Center,15.198,100.137,15
2014-02-16,Chai Nat Rice research Center,15.198,100.137,7
2014-02-17,Chai Nat Rice research Center,15.198,100.137,0
2014-02-18,Chai Nat Rice research Center,15.198,100.137,14
2014-02-19,Chai Nat Rice research Center,15.198,100.137,155
2014-02-20,Chai Nat Rice research Center,15.198,100.137,0
2014-02-21,Chai Nat Rice research Center,15.198,100.137,0
2014-02-22,Chai Nat Rice research Center,15.198,100.137,194
2014-02-23,Chai Nat Rice research Center,15.198,100.137,224
2014-02-24,Chai Nat Rice research Center,15.198,100.137,282
2014-02-25,Chai Nat Rice research Center,15.198,100.137,368
2014-02-26,Chai Nat Rice research Center,15.198,100.137,22
2014-02-27,Chai Nat Rice research Center,15.198,100.137,21
2014-02-28,Chai Nat Rice research Center,15.198,100.137,18
2014-03-01,Chai Nat Rice research Center,15.198,100.137,1215
2014-03-02,Chai Nat Rice research Center,15.198,100.137,569
2014-03-03,Chai Nat Rice research Center,15.198,100.137,625
2014-03-04,Chai Nat Rice research Center,15.198,100.137,439
2014-03-05,Chai Nat Rice research Center,15.198,100.137,1829
2014-03-06,Chai Nat Rice research Center,15.198,100.137,63
2014-03-07,Chai Nat Rice research Center,15.198,100.137,88
2014-03-08,Chai Nat Rice research Center,15.198,100.137,163
2014-03-09,Chai Nat Rice research Center,15.198,100.137,4800
2014-03-10,Chai Nat Rice research Center,15.198,100.137,318
2014-03-11,Chai Nat Rice research Center,15.198,100.137,14722
2014-03-12,Chai Nat Rice research Center,15.198,100.137,520
2014-03-13,Chai Nat Rice research Center,15.198,100.137,0
2014-03-14,Chai Nat Rice research Center,15.198,100.137,34976
2014-03-15,Chai Nat Rice research Center,15.198,100.137,0
2014-03-16,Chai Nat Rice research Center,15.198,100.137,1460
2014-03-17,Chai Nat Rice research Center,15.198,100.137,59
2014-03-18,Chai Nat Rice research Center,15.198,100.137,57
2014-03-19,Chai Nat Rice research Center,15.198,100.137,5
2014-03-20,Chai Nat Rice research Center,15.198,100.137,405
2014-03-21,Chai Nat Rice research Center,15.198,100.137,13
2014-03-22,Chai Nat Rice research Center,15.198,100.137,40
2014-03-23,Chai Nat Rice research Center,15.198,100.137,386
2014-03-24,Chai Nat Rice research Center,15.198,100.137,454
2014-03-25,Chai Nat Rice research Center,15.198,100.137,1174
2014-03-26,Chai Nat Rice research Center,15.198,100.137,306
2014-03-27,Chai Nat Rice research Center,15.198,100.137,14
2014-03-28,Chai Nat Rice research Center,15.198,100.137,0
2014-03-29,Chai Nat Rice research Center,15.198,100.137,14
2014-03-30,Chai Nat Rice research Center,15.198,100.137,129
2014-03-31,Chai Nat Rice research Center,15.198,100.137,13
2014-04-01,Chai Nat Rice research Center,15.198,100.137,53
