date,address,latitude,longitude,bph
2014-01-01,Chiangrai Rice research Center,19.529,99.745,0
2014-01-02,Chiangrai Rice research Center,19.529,99.745,0
2014-01-03,Chiangrai Rice research Center,19.529,99.745,0
2014-01-04,Chiangrai Rice research Center,19.529,99.745,0
2014-01-05,Chiangrai Rice research Center,19.529,99.745,0
2014-01-06,Chiangrai Rice research Center,19.529,99.745,0
2014-01-07,Chiangrai Rice research Center,19.529,99.745,2
2014-01-08,Chiangrai Rice research Center,19.529,99.745,0
2014-01-09,Chiangrai Rice research Center,19.529,99.745,0
2014-01-10,Chiangrai Rice research Center,19.529,99.745,1
2014-01-11,Chiangrai Rice research Center,19.529,99.745,0
2014-01-12,Chiangrai Rice research Center,19.529,99.745,0
2014-01-13,Chiangrai Rice research Center,19.529,99.745,0
2014-01-14,Chiangrai Rice research Center,19.529,99.745,0
2014-01-15,Chiangrai Rice research Center,19.529,99.745,0
2014-01-16,Chiangrai Rice research Center,19.529,99.745,0
2014-01-17,Chiangrai Rice research Center,19.529,99.745,0
2014-01-18,Chiangrai Rice research Center,19.529,99.745,0
2014-01-19,Chiangrai Rice research Center,19.529,99.745,0
2014-01-20,Chiangrai Rice research Center,19.529,99.745,0
2014-01-21,Chiangrai Rice research Center,19.529,99.745,0
2014-01-22,Chiangrai Rice research Center,19.529,99.745,0
2014-01-23,Chiangrai Rice research Center,19.529,99.745,0
2014-01-24,Chiangrai Rice research Center,19.529,99.745,0
2014-01-25,Chiangrai Rice research Center,19.529,99.745,0
2014-01-26,Chiangrai Rice research Center,19.529,99.745,0
2014-01-27,Chiangrai Rice research Center,19.529,99.745,0
2014-01-28,Chiangrai Rice research Center,19.529,99.745,0
2014-01-29,Chiangrai Rice research Center,19.529,99.745,0
2014-01-30,Chiangrai Rice research Center,19.529,99.745,1
2014-01-31,Chiangrai Rice research Center,19.529,99.745,0
2014-02-01,Chiangrai Rice research Center,19.529,99.745,0
2014-02-02,Chiangrai Rice research Center,19.529,99.745,0
2014-02-03,Chiangrai Rice research Center,19.529,99.745,0
2014-02-04,Chiangrai Rice research Center,19.529,99.745,0
2014-02-05,Chiangrai Rice research Center,19.529,99.745,0
2014-02-06,Chiangrai Rice research Center,19.529,99.745,0
2014-02-07,Chiangrai Rice research Center,19.529,99.745,0
2014-02-08,Chiangrai Rice research Center,19.529,99.745,0
2014-02-09,Chiangrai Rice research Center,19.529,99.745,0
2014-02-10,Chiangrai Rice research Center,19.529,99.745,0
2014-02-11,Chiangrai Rice research Center,19.529,99.745,0
2014-02-12,Chiangrai Rice research Center,19.529,99.745,0
2014-02-13,Chiangrai Rice research Center,19.529,99.745,0
2014-02-14,Chiangrai Rice research Center,19.529,99.745,0
2014-02-15,Chiangrai Rice research Center,19.529,99.745,0
2014-02-16,Chiangrai Rice research Center,19.529,99.745,0
2014-02-17,Chiangrai Rice research Center,19.529,99.745,0
2014-02-18,Chiangrai Rice research Center,19.529,99.745,0
2014-02-19,Chiangrai Rice research Center,19.529,99.745,0
2014-02-20,Chiangrai Rice research Center,19.529,99.745,0
2014-02-21,Chiangrai Rice research Center,19.529,99.745,1
2014-02-22,Chiangrai Rice research Center,19.529,99.745,1
2014-02-23,Chiangrai Rice research Center,19.529,99.745,0
2014-02-24,Chiangrai Rice research Center,19.529,99.745,7
2014-02-25,Chiangrai Rice research Center,19.529,99.745,0
2014-02-26,Chiangrai Rice research Center,19.529,99.745,5
2014-02-27,Chiangrai Rice research Center,19.529,99.745,0
2014-02-28,Chiangrai Rice research Center,19.529,99.745,8
2014-03-01,Chiangrai Rice research Center,19.529,99.745,12
2014-03-02,Chiangrai Rice research Center,19.529,99.745,3
2014-03-03,Chiangrai Rice research Center,19.529,99.745,0
2014-03-04,Chiangrai Rice research Center,19.529,99.745,12
2014-03-05,Chiangrai Rice research Center,19.529,99.745,19
2014-03-06,Chiangrai Rice research Center,19.529,99.745,0
2014-03-07,Chiangrai Rice research Center,19.529,99.745,6
2014-03-08,Chiangrai Rice research Center,19.529,99.745,0
2014-03-09,Chiangrai Rice research Center,19.529,99.745,2
2014-03-10,Chiangrai Rice research Center,19.529,99.745,3
2014-03-11,Chiangrai Rice research Center,19.529,99.745,2
2014-03-12,Chiangrai Rice research Center,19.529,99.745,0
2014-03-13,Chiangrai Rice research Center,19.529,99.745,0
2014-03-14,Chiangrai Rice research Center,19.529,99.745,0
2014-03-15,Chiangrai Rice research Center,19.529,99.745,0
2014-03-16,Chiangrai Rice research Center,19.529,99.745,14
2014-03-17,Chiangrai Rice research Center,19.529,99.745,1
2014-03-18,Chiangrai Rice research Center,19.529,99.745,1
2014-03-19,Chiangrai Rice research Center,19.529,99.745,2
2014-03-20,Chiangrai Rice research Center,19.529,99.745,5
2014-03-21,Chiangrai Rice research Center,19.529,99.745,1
2014-03-22,Chiangrai Rice research Center,19.529,99.745,0
2014-03-23,Chiangrai Rice research Center,19.529,99.745,0
2014-03-24,Chiangrai Rice research Center,19.529,99.745,1
2014-03-25,Chiangrai Rice research Center,19.529,99.745,0
2014-03-26,Chiangrai Rice research Center,19.529,99.745,5
2014-03-27,Chiangrai Rice research Center,19.529,99.745,5
2014-03-28,Chiangrai Rice research Center,19.529,99.745,5
2014-03-29,Chiangrai Rice research Center,19.529,99.745,2
2014-03-30,Chiangrai Rice research Center,19.529,99.745,0
2014-03-31,Chiangrai Rice research Center,19.529,99.745,4
2014-04-01,Chiangrai Rice research Center,19.529,99.745,3
2014-04-02,Chiangrai Rice research Center,19.529,99.745,4
2014-04-03,Chiangrai Rice research Center,19.529,99.745,1
2014-04-04,Chiangrai Rice research Center,19.529,99.745,2
2014-04-05,Chiangrai Rice research Center,19.529,99.745,0
