date,address,latitude,longitude,bph
2014-01-01,Khlong Luang Rice research Center,14.117,100.62,2
2014-01-02,Khlong Luang Rice research Center,14.117,100.62,1
2014-01-03,Khlong Luang Rice research Center,14.117,100.62,6
2014-01-04,Khlong Luang Rice research Center,14.117,100.62,10
2014-01-05,Khlong Luang Rice research Center,14.117,100.62,19
2014-01-06,Khlong Luang Rice research Center,14.117,100.62,19
2014-01-07,Khlong Luang Rice research Center,14.117,100.62,17
2014-01-08,Khlong Luang Rice research Center,14.117,100.62,11
2014-01-09,Khlong Luang Rice research Center,14.117,100.62,10
2014-01-10,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-11,Khlong Luang Rice research Center,14.117,100.62,10
2014-01-12,Khlong Luang Rice research Center,14.117,100.62,10
2014-01-13,Khlong Luang Rice research Center,14.117,100.62,14
2014-01-14,Khlong Luang Rice research Center,14.117,100.62,1
2014-01-15,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-16,Khlong Luang Rice research Center,14.117,100.62,3
2014-01-17,Khlong Luang Rice research Center,14.117,100.62,6
2014-01-18,Khlong Luang Rice research Center,14.117,100.62,7
2014-01-19,Khlong Luang Rice research Center,14.117,100.62,13
2014-01-20,Khlong Luang Rice research Center,14.117,100.62,10
2014-01-21,Khlong Luang Rice research Center,14.117,100.62,5
2014-01-22,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-23,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-24,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-25,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-26,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-27,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-28,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-29,Khlong Luang Rice research Center,14.117,100.62,0
2014-01-30,Khlong Luang Rice research Center,14.117,100.62,17
2014-01-31,Khlong Luang Rice research Center,14.117,100.62,35
2014-02-01,Khlong Luang Rice research Center,14.117,100.62,0
