date,address,latitude,longitude,bph
2014-01-01,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-02,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-03,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-04,Nakhon Ratchasima Rice research Center,15.238,102.481,2
2014-01-05,Nakhon Ratchasima Rice research Center,15.238,102.481,7
2014-01-06,Nakhon Ratchasima Rice research Center,15.238,102.481,4
2014-01-07,Nakhon Ratchasima Rice research Center,15.238,102.481,20
2014-01-08,Nakhon Ratchasima Rice research Center,15.238,102.481,30
2014-01-09,Nakhon Ratchasima Rice research Center,15.238,102.481,78
2014-01-10,Nakhon Ratchasima Rice research Center,15.238,102.481,1
2014-01-11,Nakhon Ratchasima Rice research Center,15.238,102.481,4
2014-01-12,Nakhon Ratchasima Rice research Center,15.238,102.481,11
2014-01-13,Nakhon Ratchasima Rice research Center,15.238,102.481,16
2014-01-14,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-15,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-16,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-17,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-18,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-19,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-20,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-21,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-22,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-23,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-24,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-25,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-26,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-27,Nakhon Ratchasima Rice research Center,15.238,102.481,1
2014-01-28,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-29,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-30,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-01-31,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-02-01,Nakhon Ratchasima Rice research Center,15.238,102.481,8
2014-02-02,Nakhon Ratchasima Rice research Center,15.238,102.481,4
2014-02-03,Nakhon Ratchasima Rice research Center,15.238,102.481,12
2014-02-04,Nakhon Ratchasima Rice research Center,15.238,102.481,41
2014-02-05,Nakhon Ratchasima Rice research Center,15.238,102.481,114
2014-02-06,Nakhon Ratchasima Rice research Center,15.238,102.481,24
2014-02-07,Nakhon Ratchasima Rice research Center,15.238,102.481,36
2014-02-08,Nakhon Ratchasima Rice research Center,15.238,102.481,57
2014-02-09,Nakhon Ratchasima Rice research Center,15.238,102.481,62
2014-02-10,Nakhon Ratchasima Rice research Center,15.238,102.481,12
2014-02-11,Nakhon Ratchasima Rice research Center,15.238,102.481,10
2014-02-12,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-02-13,Nakhon Ratchasima Rice research Center,15.238,102.481,7
2014-02-14,Nakhon Ratchasima Rice research Center,15.238,102.481,2
2014-02-15,Nakhon Ratchasima Rice research Center,15.238,102.481,2
2014-02-16,Nakhon Ratchasima Rice research Center,15.238,102.481,1
2014-02-17,Nakhon Ratchasima Rice research Center,15.238,102.481,3
2014-02-18,Nakhon Ratchasima Rice research Center,15.238,102.481,25
2014-02-19,Nakhon Ratchasima Rice research Center,15.238,102.481,21
2014-02-20,Nakhon Ratchasima Rice research Center,15.238,102.481,4
2014-02-21,Nakhon Ratchasima Rice research Center,15.238,102.481,26
2014-02-22,Nakhon Ratchasima Rice research Center,15.238,102.481,23
2014-02-23,Nakhon Ratchasima Rice research Center,15.238,102.481,14
2014-02-24,Nakhon Ratchasima Rice research Center,15.238,102.481,14
2014-02-25,Nakhon Ratchasima Rice research Center,15.238,102.481,11
2014-02-26,Nakhon Ratchasima Rice research Center,15.238,102.481,8
2014-02-27,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-02-28,Nakhon Ratchasima Rice research Center,15.238,102.481,0
2014-03-01,Nakhon Ratchasima Rice research Center,15.238,102.481,118
2014-03-02,Nakhon Ratchasima Rice research Center,15.238,102.481,127
2014-03-03,Nakhon Ratchasima Rice research Center,15.238,102.481,147
2014-03-04,Nakhon Ratchasima Rice research Center,15.238,102.481,206
2014-03-05,Nakhon Ratchasima Rice research Center,15.238,102.481,94
2014-03-06,Nakhon Ratchasima Rice research Center,15.238,102.481,84
2014-03-07,Nakhon Ratchasima Rice research Center,15.238,102.481,52
2014-03-08,Nakhon Ratchasima Rice research Center,15.238,102.481,65
2014-03-09,Nakhon Ratchasima Rice research Center,15.238,102.481,71
2014-03-10,Nakhon Ratchasima Rice research Center,15.238,102.481,80
2014-03-11,Nakhon Ratchasima Rice research Center,15.238,102.481,112
2014-03-12,Nakhon Ratchasima Rice research Center,15.238,102.481,146
2014-03-13,Nakhon Ratchasima Rice research Center,15.238,102.481,111
