date,address,latitude,longitude,bph
2014-01-01,Nakhon Sawan Rice Seed Center,15.628,100.119,8
2014-01-02,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-01-03,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-01-04,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-05,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-06,Nakhon Sawan Rice Seed Center,15.628,100.119,2
2014-01-07,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-08,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-01-09,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-10,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-01-11,Nakhon Sawan Rice Seed Center,15.628,100.119,2
2014-01-12,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-01-13,Nakhon Sawan Rice Seed Center,15.628,100.119,2
2014-01-14,Nakhon Sawan Rice Seed Center,15.628,100.119,3
2014-01-15,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-16,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-01-17,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-18,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-01-19,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-20,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-01-21,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-22,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-23,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-24,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-25,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-26,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-01-27,Nakhon Sawan Rice Seed Center,15.628,100.119,3
2014-01-28,Nakhon Sawan Rice Seed Center,15.628,100.119,7
2014-01-29,Nakhon Sawan Rice Seed Center,15.628,100.119,5
2014-01-30,Nakhon Sawan Rice Seed Center,15.628,100.119,5
2014-01-31,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-02-01,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-02-02,Nakhon Sawan Rice Seed Center,15.628,100.119,2
2014-02-03,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-02-04,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-02-05,Nakhon Sawan Rice Seed Center,15.628,100.119,19
2014-02-06,Nakhon Sawan Rice Seed Center,15.628,100.119,6
2014-02-07,Nakhon Sawan Rice Seed Center,15.628,100.119,6
2014-02-08,Nakhon Sawan Rice Seed Center,15.628,100.119,9
2014-02-09,Nakhon Sawan Rice Seed Center,15.628,100.119,12
2014-02-10,Nakhon Sawan Rice Seed Center,15.628,100.119,15
2014-02-11,Nakhon Sawan Rice Seed Center,15.628,100.119,6
2014-02-12,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-02-13,Nakhon Sawan Rice Seed Center,15.628,100.119,4
2014-02-14,Nakhon Sawan Rice Seed Center,15.628,100.119,3
2014-02-15,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-02-16,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-02-17,Nakhon Sawan Rice Seed Center,15.628,100.119,2
2014-02-18,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-02-19,Nakhon Sawan Rice Seed Center,15.628,100.119,2
2014-02-20,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-02-21,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-02-22,Nakhon Sawan Rice Seed Center,15.628,100.119,3
2014-02-23,Nakhon Sawan Rice Seed Center,15.628,100.119,5
2014-02-24,Nakhon Sawan Rice Seed Center,15.628,100.119,5
2014-02-25,Nakhon Sawan Rice Seed Center,15.628,100.119,15
2014-02-26,Nakhon Sawan Rice Seed Center,15.628,100.119,17
2014-02-27,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-02-28,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-03-01,Nakhon Sawan Rice Seed Center,15.628,100.119,25
2014-03-02,Nakhon Sawan Rice Seed Center,15.628,100.119,28
2014-03-03,Nakhon Sawan Rice Seed Center,15.628,100.119,30
2014-03-04,Nakhon Sawan Rice Seed Center,15.628,100.119,36
2014-03-05,Nakhon Sawan Rice Seed Center,15.628,100.119,42
2014-03-06,Nakhon Sawan Rice Seed Center,15.628,100.119,30
2014-03-07,Nakhon Sawan Rice Seed Center,15.628,100.119,1
2014-03-08,Nakhon Sawan Rice Seed Center,15.628,100.119,9
2014-03-09,Nakhon Sawan Rice Seed Center,15.628,100.119,11
2014-03-10,Nakhon Sawan Rice Seed Center,15.628,100.119,11
2014-03-11,Nakhon Sawan Rice Seed Center,15.628,100.119,3
2014-03-12,Nakhon Sawan Rice Seed Center,15.628,100.119,42
2014-03-13,Nakhon Sawan Rice Seed Center,15.628,100.119,18
2014-03-14,Nakhon Sawan Rice Seed Center,15.628,100.119,36
2014-03-15,Nakhon Sawan Rice Seed Center,15.628,100.119,30
2014-03-16,Nakhon Sawan Rice Seed Center,15.628,100.119,0
2014-03-17,Nakhon Sawan Rice Seed Center,15.628,100.119,29
