date,address,latitude,longitude,bph
2014-01-01,Nong Khai Rice research Center,18.163,103.169,0
2014-01-02,Nong Khai Rice research Center,18.163,103.169,0
2014-01-03,Nong Khai Rice research Center,18.163,103.169,0
2014-01-04,Nong Khai Rice research Center,18.163,103.169,0
2014-01-05,Nong Khai Rice research Center,18.163,103.169,0
2014-01-06,Nong Khai Rice research Center,18.163,103.169,0
2014-01-07,Nong Khai Rice research Center,18.163,103.169,0
2014-01-08,Nong Khai Rice research Center,18.163,103.169,0
2014-01-09,Nong Khai Rice research Center,18.163,103.169,0
2014-01-10,Nong Khai Rice research Center,18.163,103.169,0
2014-01-11,Nong Khai Rice research Center,18.163,103.169,0
2014-01-12,Nong Khai Rice research Center,18.163,103.169,0
2014-01-13,Nong Khai Rice research Center,18.163,103.169,0
2014-01-14,Nong Khai Rice research Center,18.163,103.169,0
2014-01-15,Nong Khai Rice research Center,18.163,103.169,0
2014-01-16,Nong Khai Rice research Center,18.163,103.169,0
2014-01-17,Nong Khai Rice research Center,18.163,103.169,0
2014-01-18,Nong Khai Rice research Center,18.163,103.169,0
2014-01-19,Nong Khai Rice research Center,18.163,103.169,0
2014-01-20,Nong Khai Rice research Center,18.163,103.169,0
2014-01-21,Nong Khai Rice research Center,18.163,103.169,0
2014-01-22,Nong Khai Rice research Center,18.163,103.169,0
2014-01-23,Nong Khai Rice research Center,18.163,103.169,0
2014-01-24,Nong Khai Rice research Center,18.163,103.169,0
2014-01-25,Nong Khai Rice research Center,18.163,103.169,0
2014-01-26,Nong Khai Rice research Center,18.163,103.169,0
2014-01-27,Nong Khai Rice research Center,18.163,103.169,0
2014-01-28,Nong Khai Rice research Center,18.163,103.169,0
2014-01-29,Nong Khai Rice research Center,18.163,103.169,1
2014-01-30,Nong Khai Rice research Center,18.163,103.169,0
2014-01-31,Nong Khai Rice research Center,18.163,103.169,2
2014-02-01,Nong Khai Rice research Center,18.163,103.169,0
2014-02-02,Nong Khai Rice research Center,18.163,103.169,0
2014-02-03,Nong Khai Rice research Center,18.163,103.169,1
2014-02-04,Nong Khai Rice research Center,18.163,103.169,0
2014-02-05,Nong Khai Rice research Center,18.163,103.169,1
2014-02-06,Nong Khai Rice research Center,18.163,103.169,0
2014-02-07,Nong Khai Rice research Center,18.163,103.169,0
2014-02-08,Nong Khai Rice research Center,18.163,103.169,1
2014-02-09,Nong Khai Rice research Center,18.163,103.169,0
2014-02-10,Nong Khai Rice research Center,18.163,103.169,0
2014-02-11,Nong Khai Rice research Center,18.163,103.169,2
2014-02-12,Nong Khai Rice research Center,18.163,103.169,0
2014-02-13,Nong Khai Rice research Center,18.163,103.169,1
2014-02-14,Nong Khai Rice research Center,18.163,103.169,0
2014-02-15,Nong Khai Rice research Center,18.163,103.169,1
2014-02-16,Nong Khai Rice research Center,18.163,103.169,1
2014-02-17,Nong Khai Rice research Center,18.163,103.169,0
2014-02-18,Nong Khai Rice research Center,18.163,103.169,0
2014-02-19,Nong Khai Rice research Center,18.163,103.169,1
2014-02-20,Nong Khai Rice research Center,18.163,103.169,0
2014-02-21,Nong Khai Rice research Center,18.163,103.169,0
2014-02-22,Nong Khai Rice research Center,18.163,103.169,1
2014-02-23,Nong Khai Rice research Center,18.163,103.169,1
2014-02-24,Nong Khai Rice research Center,18.163,103.169,1
2014-02-25,Nong Khai Rice research Center,18.163,103.169,0
2014-02-26,Nong Khai Rice research Center,18.163,103.169,0
