date,address,latitude,longitude,bph
2014-01-01,Phitsanulok Rice Seed Center,16.837,100.375,7
2014-01-02,Phitsanulok Rice Seed Center,16.837,100.375,15
2014-01-03,Phitsanulok Rice Seed Center,16.837,100.375,20
2014-01-04,Phitsanulok Rice Seed Center,16.837,100.375,33
2014-01-05,Phitsanulok Rice Seed Center,16.837,100.375,26
2014-01-06,Phitsanulok Rice Seed Center,16.837,100.375,22
2014-01-07,Phitsanulok Rice Seed Center,16.837,100.375,28
2014-01-08,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-09,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-10,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-11,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-12,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-13,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-14,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-15,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-16,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-17,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-18,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-19,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-20,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-21,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-22,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-23,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-24,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-25,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-26,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-27,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-28,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-29,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-01-30,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-01-31,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-01,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-02,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-03,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-04,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-05,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-06,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-07,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-08,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-09,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-10,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-11,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-12,Phitsanulok Rice Seed Center,16.837,100.375,2
2014-02-13,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-14,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-15,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-16,Phitsanulok Rice Seed Center,16.837,100.375,2
2014-02-17,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-18,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-19,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-20,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-21,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-22,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-23,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-24,Phitsanulok Rice Seed Center,16.837,100.375,2
2014-02-25,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-26,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-02-27,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-02-28,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-01,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-02,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-03,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-04,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-05,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-06,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-07,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-08,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-09,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-10,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-11,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-12,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-13,Phitsanulok Rice Seed Center,16.837,100.375,2
2014-03-14,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-15,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-16,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-17,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-18,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-19,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-20,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-21,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-22,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-23,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-24,Phitsanulok Rice Seed Center,16.837,100.375,2
2014-03-25,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-26,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-27,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-28,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-03-29,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-03-30,Phitsanulok Rice Seed Center,16.837,100.375,2
2014-03-31,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-04-01,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-04-02,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-04-03,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-04-04,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-04-05,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-04-06,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-04-07,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-04-08,Phitsanulok Rice Seed Center,16.837,100.375,0
2014-04-09,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-04-10,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-04-11,Phitsanulok Rice Seed Center,16.837,100.375,2
2014-04-12,Phitsanulok Rice Seed Center,16.837,100.375,1
2014-04-13,Phitsanulok Rice Seed Center,16.837,100.375,0
