date,address,latitude,longitude,bph
2014-01-01,Phrae Rice research Center,18.242,100.217,1
2014-01-02,Phrae Rice research Center,18.242,100.217,2
2014-01-03,Phrae Rice research Center,18.242,100.217,2
2014-01-04,Phrae Rice research Center,18.242,100.217,0
2014-01-05,Phrae Rice research Center,18.242,100.217,1
2014-01-06,Phrae Rice research Center,18.242,100.217,2
2014-01-07,Phrae Rice research Center,18.242,100.217,6
2014-01-08,Phrae Rice research Center,18.242,100.217,4
2014-01-09,Phrae Rice research Center,18.242,100.217,4
2014-01-10,Phrae Rice research Center,18.242,100.217,0
2014-01-11,Phrae Rice research Center,18.242,100.217,5
2014-01-12,Phrae Rice research Center,18.242,100.217,2
2014-01-13,Phrae Rice research Center,18.242,100.217,1
2014-01-14,Phrae Rice research Center,18.242,100.217,7
2014-01-15,Phrae Rice research Center,18.242,100.217,5
2014-01-16,Phrae Rice research Center,18.242,100.217,1
2014-01-17,Phrae Rice research Center,18.242,100.217,0
2014-01-18,Phrae Rice research Center,18.242,100.217,0
2014-01-19,Phrae Rice research Center,18.242,100.217,0
2014-01-20,Phrae Rice research Center,18.242,100.217,0
2014-01-21,Phrae Rice research Center,18.242,100.217,0
2014-01-22,Phrae Rice research Center,18.242,100.217,0
2014-01-23,Phrae Rice research Center,18.242,100.217,0
2014-01-24,Phrae Rice research Center,18.242,100.217,0
2014-01-25,Phrae Rice research Center,18.242,100.217,0
2014-01-26,Phrae Rice research Center,18.242,100.217,0
2014-01-27,Phrae Rice research Center,18.242,100.217,4
2014-01-28,Phrae Rice research Center,18.242,100.217,1
2014-01-29,Phrae Rice research Center,18.242,100.217,1
2014-01-30,Phrae Rice research Center,18.242,100.217,0
2014-01-31,Phrae Rice research Center,18.242,100.217,1
2014-02-01,Phrae Rice research Center,18.242,100.217,0
2014-02-02,Phrae Rice research Center,18.242,100.217,2
2014-02-03,Phrae Rice research Center,18.242,100.217,0
2014-02-04,Phrae Rice research Center,18.242,100.217,1
2014-02-05,Phrae Rice research Center,18.242,100.217,5
2014-02-06,Phrae Rice research Center,18.242,100.217,0
2014-02-07,Phrae Rice research Center,18.242,100.217,4
2014-02-08,Phrae Rice research Center,18.242,100.217,1
2014-02-09,Phrae Rice research Center,18.242,100.217,3
2014-02-10,Phrae Rice research Center,18.242,100.217,2
2014-02-11,Phrae Rice research Center,18.242,100.217,3
2014-02-12,Phrae Rice research Center,18.242,100.217,6
2014-02-13,Phrae Rice research Center,18.242,100.217,3
2014-02-14,Phrae Rice research Center,18.242,100.217,2
2014-02-15,Phrae Rice research Center,18.242,100.217,21
