date,address,latitude,longitude,bph
2014-01-01,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-02,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-03,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-04,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-05,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-06,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-07,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-08,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-09,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-10,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-11,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-12,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-13,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-14,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-15,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-16,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-17,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-18,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-19,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-20,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-21,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-22,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-23,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-24,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-25,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-26,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-27,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-28,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-29,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-30,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-01-31,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-01,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-02,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-03,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-04,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-05,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-06,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-07,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-08,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-09,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-10,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-11,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-12,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-13,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-14,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-15,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-16,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-17,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-18,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-19,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-20,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-21,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-22,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-23,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-24,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-25,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-26,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-27,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-02-28,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-03-01,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-03-02,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-03-03,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-03-04,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-03-05,Ratchaburi Rice Seed Center2,13.682,99.77,0
2014-03-06,Ratchaburi Rice Seed Center2,13.682,99.77,0
