date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
2015-01-01,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,Chai Nat Rice Seed Center 1,15.348,99.597,0,0,0,0,0,0,0,0,0,0,0,0
