date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
2015-01-01,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605,0,0,0,0,0,0,0,0,0,0,0,0
