date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
1/1/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/20/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/24/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
1/25/2015,Roi Et Rice Seed Center,16.083,103.867,0,0,0,0,0,0,0,0,0,0,0,0
