date,address,latitude,longitude,°¢ 10,°¢‰¡Ë‰«· ß, ÿæ√√≥∫ÿ√’ 60-90,√“™°“√‰¡Ë‰«· ß,æ‘…≥ÿ‚≈°2 60-2,™—¬π“∑ 1-2,ÀÕ¡ ÿæ√√≥∫ÿ√’,ª∑ÿ¡∏“π’ 1, ÿæ√√≥∫ÿ√’ 1
1/1/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/2/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/3/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/4/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/5/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/6/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/7/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/8/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/9/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/10/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/11/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/12/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/13/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/14/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/15/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/16/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/17/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/18/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/19/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/20/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/21/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/22/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/23/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/24/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/25/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/26/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/27/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/28/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/29/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
1/30/2015,Roi Et Rice Seed Center,16.083,103.867,1906,11530,239,2133,7822,52514,493,1194,3036
