date,address,latitude,longitude,°¢ 10,°¢‰¡Ë‰«· ß, ÿæ√√≥∫ÿ√’ 60-90,√“™°“√‰¡Ë‰«· ß,æ‘…≥ÿ‚≈°2 60-2,™—¬π“∑ 1-2,ÀÕ¡ ÿæ√√≥∫ÿ√’,ª∑ÿ¡∏“π’ 1, ÿæ√√≥∫ÿ√’ 1
1/1/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/2/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/3/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/4/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/5/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/6/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/7/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/8/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/9/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/10/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/11/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/12/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/13/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/14/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/15/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/16/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/17/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/18/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/19/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/20/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/21/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/22/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/23/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/24/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/25/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/26/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/27/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/28/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/29/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/30/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
1/31/2015,Samoeng Rice research Center,18.849,98.768,1893,3399,390,43259,874,0,0,671,291
2/1/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/2/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/3/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/4/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/5/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/6/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/7/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/8/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/9/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/10/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/11/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/12/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/13/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
2/14/2015,Samoeng Rice research Center,18.849,98.768,1451,2607,299,33172,670,0,0,515,223
