date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
2015-01-01,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,Sukhothai Rice Seed Center,17.311,99.709,0,0,0,0,0,0,0,0,0,0,0,0
