date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
2015-01-01,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-29,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-30,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-31,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-12,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-13,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-19,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-20,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-25,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-28,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-03,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-06,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-12,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-13,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-14,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-15,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-18,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-19,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-20,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-25,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-09,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-10,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-13,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-15,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-21,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-24,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,Chai Nat Rice research Center,15.198,100.137,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-02,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-03,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-04,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-05,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-06,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-07,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-08,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-09,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-10,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-11,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-12,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-13,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-14,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-15,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-16,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-17,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-18,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-19,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-20,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-21,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-22,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-23,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-24,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-25,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-26,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-27,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-28,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-29,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-30,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-05-31,Chai Nat Rice research Center,15.198,100.137,1584,0,0,2681,825,0,68449,0,0,0,33406,14121
2015-06-01,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-02,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-03,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-04,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-05,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-06,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-07,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-08,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-09,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-10,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-11,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-12,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-13,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-14,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-15,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-16,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-17,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-18,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-19,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-20,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-21,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-22,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-23,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-24,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-25,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-26,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-27,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-28,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-29,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-06-30,Chai Nat Rice research Center,15.198,100.137,2168,0,0,3669,1129,0,93683,0,0,0,45721,19327
2015-07-01,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-02,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-03,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-04,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-05,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-06,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-07,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-08,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-09,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-10,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-11,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-12,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-13,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-14,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-15,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-16,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-17,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-18,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-19,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-20,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-21,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-22,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-23,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-24,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-25,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-26,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-27,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-28,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-29,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-30,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-07-31,Chai Nat Rice research Center,15.198,100.137,516,0,0,874,269,0,22309,0,0,0,10888,4602
2015-08-01,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-02,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-03,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-04,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-05,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-06,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-07,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-08,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-09,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-10,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-11,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-12,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-13,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-14,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-15,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-16,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-17,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-18,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-19,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-20,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-21,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-22,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-23,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-24,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-25,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-26,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-27,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-28,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
2015-08-29,Chai Nat Rice research Center,15.198,100.137,2476,0,0,4191,1290,0,107022,0,0,0,52231,22079
