date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
2015-01-01,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-29,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-30,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-31,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,Chiang Mai Rice research Center,19.529,99.745,0,0,0,0,0,0,0,0,0,0,0,0
