date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
2015-01-01,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-29,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-30,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-31,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-03,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-12,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-13,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-19,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-20,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,Khon Kaen Rice research Center,16.432,102.819,0,0,0,0,0,0,0,0,0,0,0,0
