date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
2015-01-01,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-02,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-03,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-04,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-05,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-06,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-07,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-08,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-09,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-10,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-11,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-12,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-13,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-14,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-15,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-16,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-17,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-18,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-19,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-20,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-21,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-22,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-23,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-24,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-25,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-26,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-27,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-28,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-29,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-30,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-01-31,Nakhon Si Thammarat Rice research Center,8.362,100.056,8948,0,0,1126,634,8917,17416,0,0,0,23378,0
2015-02-01,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-02,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-03,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-04,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-05,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-06,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-07,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-08,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-09,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-10,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-11,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-12,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-13,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-14,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-15,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-16,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-17,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-18,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-19,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-20,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-21,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-22,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-23,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-24,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-25,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-26,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-27,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-02-28,Nakhon Si Thammarat Rice research Center,8.362,100.056,4022,0,0,506,285,4008,7828,0,0,0,10508,0
2015-03-01,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-03,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-06,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-12,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-13,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-14,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-15,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-18,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-19,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-20,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-25,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-09,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-10,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-13,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-15,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-21,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-24,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-02,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-04,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-06,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-07,Nakhon Si Thammarat Rice research Center,8.362,100.056,0,0,0,0,0,0,0,0,0,0,0,0
