date,address,latitude,longitude,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
2015-01-01,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-29,Prachinburi Rice research Center,14.011,101.216,0,0,0,0,0,0,0,0,0,0,0,0
