date,address,latitude,longitude,°¢ 10,°¢‰¡Ë‰«· ß, ÿæ√√≥∫ÿ√’ 60-90,√“™°“√‰¡Ë‰«· ß,æ‘…≥ÿ‚≈°2 60-2,™—¬π“∑ 1-2,ÀÕ¡ ÿæ√√≥∫ÿ√’,ª∑ÿ¡∏“π’ 1, ÿæ√√≥∫ÿ√’ 1
2015-01-01,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-02,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-03,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-04,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-05,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-06,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-07,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-08,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-09,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-10,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-11,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-12,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-13,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-14,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-15,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-16,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-17,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-18,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-19,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-20,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-21,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-22,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-23,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-24,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-25,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-26,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-27,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-28,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-29,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-30,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-01-31,Phitsanulok Rice Seed Center,16.837,100.375,142,43634,1099,37462,16878,2293,105,698,10064
2015-02-01,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-02,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-03,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-04,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-05,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-06,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-07,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-08,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-09,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-10,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-11,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-12,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-13,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-14,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-15,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-16,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-17,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-18,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-19,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-20,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-21,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-22,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-23,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-24,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-25,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-26,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-27,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-02-28,Phitsanulok Rice Seed Center,16.837,100.375,28,8589,216,7374,3322,451,21,137,1981
2015-03-01,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-02,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-03,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-04,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-05,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-06,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-07,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-08,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-09,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-10,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-11,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-12,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-13,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-14,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-15,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-16,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-17,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
2015-03-18,Phitsanulok Rice Seed Center,16.837,100.375,12,3707,93,3182,1434,195,9,59,855
