date,address,latitude,longitude,°¢ 10,°¢‰¡Ë‰«· ß, ÿæ√√≥∫ÿ√’ 60-90,√“™°“√‰¡Ë‰«· ß,æ‘…≥ÿ‚≈°2 60-2,™—¬π“∑ 1-2,ÀÕ¡ ÿæ√√≥∫ÿ√’,ª∑ÿ¡∏“π’ 1, ÿæ√√≥∫ÿ√’ 1
2015-01-01,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-02,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-03,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-04,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-05,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-06,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-07,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-08,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-09,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-10,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-11,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-12,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-13,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-14,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-15,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
2015-01-16,Sakon Nakhon Rice research Center,17.181,104.119,6210,1543,0,10612,0,1267,0,476,47
