date,address,latitude,longitude,°¢ 10,°¢‰¡Ë‰«· ß, ÿæ√√≥∫ÿ√’ 60-90,√“™°“√‰¡Ë‰«· ß,æ‘…≥ÿ‚≈°2 60-2,™—¬π“∑ 1-2,ÀÕ¡ ÿæ√√≥∫ÿ√’,ª∑ÿ¡∏“π’ 1, ÿæ√√≥∫ÿ√’ 1
2015-01-01,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-02,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-03,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-04,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-05,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-06,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-07,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-08,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-09,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-10,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-11,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-12,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-13,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-14,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-15,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-16,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-17,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-18,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-19,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-20,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-21,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-22,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-23,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-24,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-25,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-26,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-27,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-28,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-29,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-30,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-01-31,Udon Thani Rice research Center,17.374,102.584,7702,4405,0,2366,307,1400,0,495,10
2015-02-01,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-02,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-03,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-04,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-05,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-06,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-07,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-08,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-09,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-10,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-11,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-12,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-13,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-14,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-15,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-16,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-17,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-18,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-19,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-20,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-21,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-22,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-23,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-24,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-25,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-26,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-27,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-02-28,Udon Thani Rice research Center,17.374,102.584,1356,776,0,417,54,246,0,87,2
2015-03-01,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-02,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-03,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-04,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-05,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-06,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-07,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-08,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-09,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-10,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-11,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-12,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-13,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-14,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-15,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-16,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-17,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-18,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-19,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-20,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-21,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-22,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-23,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-24,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-25,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-26,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-27,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-28,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-29,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-30,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-03-31,Udon Thani Rice research Center,17.374,102.584,237,136,0,73,9,43,0,15,0
2015-04-01,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-02,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-03,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-04,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-05,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-06,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-07,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-08,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-09,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-10,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-11,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-12,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-13,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-14,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-15,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-16,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-17,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-18,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-19,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-20,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
2015-04-21,Udon Thani Rice research Center,17.374,102.584,0,0,0,0,0,0,0,0,0
