date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Chachoengsao Rice research Center,13.873,100.951,21.0,28.2,25.7,14.0,49.11,18.5,65.5,0.0
01/02/2015,Chachoengsao Rice research Center,13.873,100.951,20.5,26.9,23.7,12.4,49.78,16.7,126.83,0.0
01/03/2015,Chachoengsao Rice research Center,13.873,100.951,21.0,22.5,21.7,14.5,63.5,9.4,25.0,0.0
01/04/2015,Chachoengsao Rice research Center,13.873,100.951,21.5,31.0,27.7,16.2,50.44,10.3,164.63,0.0
01/05/2015,Chachoengsao Rice research Center,13.873,100.951,23.0,29.5,26.5,19.5,66.84,7.4,35.75,0.0
01/06/2015,Chachoengsao Rice research Center,13.873,100.951,24.0,33.2,30.5,20.2,55.78,13.9,153.8,0.0
01/07/2015,Chachoengsao Rice research Center,13.873,100.951,26.5,32.8,29.9,22.3,64.83,10.3,134.17,0.0
01/08/2015,Chachoengsao Rice research Center,13.873,100.951,25.5,26.0,25.7,22.7,83.59,11.2,62.5,0.0
01/09/2015,Chachoengsao Rice research Center,13.873,100.951,25.0,31.0,28.5,19.1,57.3,24.1,88.38,0.0
01/10/2015,Chachoengsao Rice research Center,13.873,100.951,26.0,29.0,27.6,20.8,66.87,16.6,74.0,0.0
01/11/2015,Chachoengsao Rice research Center,13.873,100.951,22.5,27.0,25.6,17.1,59.98,24.1,275.9,0.0
01/12/2015,Chachoengsao Rice research Center,13.873,100.951,21.5,25.5,23.7,15.9,61.97,15.9,194.5,0.0
01/13/2015,Chachoengsao Rice research Center,13.873,100.951,22.5,23.0,22.7,14.2,58.76,12.9,60.0,0.0
01/14/2015,Chachoengsao Rice research Center,13.873,100.951,21.0,28.0,25.3,11.1,41.53,13.9,78.75,0.0
01/15/2015,Chachoengsao Rice research Center,13.873,100.951,20.0,25.5,22.9,11.6,49.37,10.3,40.5,0.0
01/16/2015,Chachoengsao Rice research Center,13.873,100.951,21.0,30.5,27.3,11.0,37.48,17.5,58.2,0.0
01/17/2015,Chachoengsao Rice research Center,13.873,100.951,20.0,27.1,23.6,12.4,49.89,16.7,66.33,0.0
01/18/2015,Chachoengsao Rice research Center,13.873,100.951,21.5,23.5,22.5,14.5,60.72,10.1,75.0,0.0
01/19/2015,Chachoengsao Rice research Center,13.873,100.951,21.5,29.0,25.8,14.5,50.35,16.7,65.38,0.0
01/20/2015,Chachoengsao Rice research Center,13.873,100.951,22.0,27.0,24.6,15.4,57.22,13.9,105.0,0.0
01/21/2015,Chachoengsao Rice research Center,13.873,100.951,22.0,32.0,28.8,14.6,44.3,10.3,58.4,0.0
01/22/2015,Chachoengsao Rice research Center,13.873,100.951,23.0,31.5,28.0,15.0,47.02,10.8,55.83,0.0
01/23/2015,Chachoengsao Rice research Center,13.873,100.951,22.5,24.5,23.5,18.2,72.64,8.5,90.0,0.0
01/24/2015,Chachoengsao Rice research Center,13.873,100.951,22.5,32.0,28.4,19.8,62.5,11.1,160.5,0.0
01/25/2015,Chachoengsao Rice research Center,13.873,100.951,23.5,28.5,25.9,21.5,77.21,6.5,81.0,0.0
01/26/2015,Chachoengsao Rice research Center,13.873,100.951,23.5,31.4,28.9,21.8,66.98,12.9,193.6,0.0
01/27/2015,Chachoengsao Rice research Center,13.873,100.951,24.0,31.9,28.2,21.8,69.96,10.7,161.5,0.0
01/28/2015,Chachoengsao Rice research Center,13.873,100.951,24.5,25.5,25.0,23.0,88.7,6.5,57.5,0.0
01/29/2015,Chachoengsao Rice research Center,13.873,100.951,24.5,32.5,29.3,22.6,69.03,10.0,152.38,0.0
01/30/2015,Chachoengsao Rice research Center,13.873,100.951,25.5,30.0,27.9,23.8,79.16,7.4,175.5,0.0
01/31/2015,Chachoengsao Rice research Center,13.873,100.951,26.0,32.0,29.7,21.5,63.19,25.9,93.7,31.43
02/01/2015,Chachoengsao Rice research Center,13.873,100.951,25.0,31.0,28.8,15.3,44.24,24.1,89.1,0.0
02/02/2015,Chachoengsao Rice research Center,13.873,100.951,23.5,30.2,27.3,16.6,52.42,20.3,90.83,0.0
02/03/2015,Chachoengsao Rice research Center,13.873,100.951,24.5,27.0,25.7,18.2,63.43,13.0,65.0,0.0
02/04/2015,Chachoengsao Rice research Center,13.873,100.951,25.5,33.0,30.3,16.3,44.14,23.0,87.75,0.0
02/05/2015,Chachoengsao Rice research Center,13.873,100.951,25.0,29.5,27.2,14.4,45.55,20.3,90.75,0.0
02/06/2015,Chachoengsao Rice research Center,13.873,100.951,23.5,31.7,28.9,14.3,41.62,28.6,98.0,0.0
02/07/2015,Chachoengsao Rice research Center,13.873,100.951,23.5,30.8,27.8,14.8,45.9,14.8,87.83,0.0
02/08/2015,Chachoengsao Rice research Center,13.873,100.951,23.0,25.5,24.2,17.2,65.49,11.2,107.5,0.0
02/09/2015,Chachoengsao Rice research Center,13.873,100.951,23.5,32.0,28.3,15.3,45.89,23.2,98.13,0.0
02/10/2015,Chachoengsao Rice research Center,13.873,100.951,23.0,29.0,26.5,15.3,50.89,23.2,91.5,0.0
02/11/2015,Chachoengsao Rice research Center,13.873,100.951,23.5,32.7,30.0,18.1,50.46,10.6,119.5,0.0
02/12/2015,Chachoengsao Rice research Center,13.873,100.951,24.5,31.5,28.3,21.9,69.25,14.8,141.33,0.0
02/13/2015,Chachoengsao Rice research Center,13.873,100.951,27.0,28.5,27.7,22.0,71.05,19.4,190.0,0.0
02/14/2015,Chachoengsao Rice research Center,13.873,100.951,27.0,32.0,30.0,20.6,58.8,21.2,224.38,3.0
02/15/2015,Chachoengsao Rice research Center,13.873,100.951,24.0,29.0,26.8,22.2,76.03,17.6,140.0,5.0
02/16/2015,Chachoengsao Rice research Center,13.873,100.951,25.5,32.5,30.1,22.3,63.91,15.6,181.7,0.2
02/17/2015,Chachoengsao Rice research Center,13.873,100.951,25.0,31.6,29.0,21.8,65.93,13.8,156.17,0.0
02/18/2015,Chachoengsao Rice research Center,13.873,100.951,27.0,27.5,27.2,23.0,77.67,11.2,125.0,0.0
02/19/2015,Chachoengsao Rice research Center,13.873,100.951,26.5,33.0,30.3,21.4,59.87,19.4,161.25,0.0
02/20/2015,Chachoengsao Rice research Center,13.873,100.951,25.0,29.0,27.1,22.4,75.61,11.2,109.0,0.0
02/21/2015,Chachoengsao Rice research Center,13.873,100.951,26.0,32.0,29.4,22.3,67.31,20.5,187.2,9.82
02/22/2015,Chachoengsao Rice research Center,13.873,100.951,27.5,32.3,30.1,22.2,63.46,19.4,177.5,0.0
02/23/2015,Chachoengsao Rice research Center,13.873,100.951,25.5,28.0,26.7,23.0,80.06,13.9,127.5,0.0
02/24/2015,Chachoengsao Rice research Center,13.873,100.951,26.5,34.0,31.2,22.8,61.93,16.7,197.0,0.0
02/25/2015,Chachoengsao Rice research Center,13.873,100.951,26.5,32.5,29.9,22.9,67.27,17.5,158.67,0.0
02/26/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,34.0,32.1,21.2,53.13,18.4,184.8,0.0
02/27/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,33.5,31.3,22.4,60.24,14.8,181.17,0.0
02/28/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,29.5,28.7,23.5,73.53,11.2,150.0,0.0
03/01/2015,Chachoengsao Rice research Center,13.873,100.951,27.5,34.5,32.4,23.3,59.48,13.9,178.5,0.0
03/02/2015,Chachoengsao Rice research Center,13.873,100.951,25.3,29.3,27.0,23.6,81.94,18.5,198.5,17.39
03/03/2015,Chachoengsao Rice research Center,13.873,100.951,28.5,30.0,29.2,24.0,73.61,25.0,182.5,0.0
03/04/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,34.0,31.7,23.9,64.1,15.8,170.38,0.0
03/05/2015,Chachoengsao Rice research Center,13.873,100.951,28.5,33.0,30.5,24.0,68.98,17.5,168.25,0.0
03/06/2015,Chachoengsao Rice research Center,13.873,100.951,28.5,33.5,32.1,23.6,61.54,21.4,179.0,0.0
03/07/2015,Chachoengsao Rice research Center,13.873,100.951,29.0,33.5,31.6,22.8,60.15,20.3,178.33,0.0
03/08/2015,Chachoengsao Rice research Center,13.873,100.951,28.5,30.5,29.5,24.0,72.65,16.6,150.0,0.0
03/09/2015,Chachoengsao Rice research Center,13.873,100.951,27.5,34.5,32.2,23.1,60.3,15.7,172.0,0.0
03/10/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,32.5,30.2,23.7,68.41,15.7,166.5,0.0
03/11/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,34.5,32.4,23.5,59.96,18.5,188.6,0.0
03/12/2015,Chachoengsao Rice research Center,13.873,100.951,28.5,33.3,31.3,23.6,64.12,18.5,193.17,0.0
03/13/2015,Chachoengsao Rice research Center,13.873,100.951,29.0,30.5,29.7,23.5,69.27,19.4,187.5,0.0
03/14/2015,Chachoengsao Rice research Center,13.873,100.951,29.0,34.0,32.2,22.2,56.13,22.3,187.13,0.0
03/15/2015,Chachoengsao Rice research Center,13.873,100.951,28.5,32.0,30.4,23.8,67.95,18.5,164.25,0.0
03/16/2015,Chachoengsao Rice research Center,13.873,100.951,29.0,34.5,32.3,23.8,61.17,21.4,192.8,0.0
03/17/2015,Chachoengsao Rice research Center,13.873,100.951,29.0,33.2,31.6,23.8,63.62,20.3,184.83,0.0
03/18/2015,Chachoengsao Rice research Center,13.873,100.951,29.5,30.0,29.7,24.5,73.5,19.4,170.0,0.0
03/19/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,33.5,31.6,24.0,64.77,18.4,168.0,0.0
03/20/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,32.0,29.9,24.6,73.39,13.2,151.5,0.0
03/21/2015,Chachoengsao Rice research Center,13.873,100.951,29.0,34.0,31.9,24.5,65.16,20.3,176.9,0.0
03/22/2015,Chachoengsao Rice research Center,13.873,100.951,27.0,32.2,30.0,23.5,68.71,12.1,263.2,0.1
03/23/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,29.5,28.7,24.0,75.57,11.2,124.5,0.0
03/24/2015,Chachoengsao Rice research Center,13.873,100.951,26.0,31.5,28.9,23.2,71.72,16.8,235.13,16.09
03/25/2015,Chachoengsao Rice research Center,13.873,100.951,26.0,30.0,28.1,21.1,66.07,15.7,111.0,0.0
03/26/2015,Chachoengsao Rice research Center,13.873,100.951,25.0,32.8,30.3,21.5,60.04,17.8,69.1,0.0
03/27/2015,Chachoengsao Rice research Center,13.873,100.951,26.0,33.2,30.1,20.9,58.9,17.6,150.17,0.0
03/28/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,29.5,28.7,23.2,72.26,8.5,60.0,0.0
03/29/2015,Chachoengsao Rice research Center,13.873,100.951,23.0,32.0,27.9,22.6,74.09,12.1,68.38,38.49
03/30/2015,Chachoengsao Rice research Center,13.873,100.951,28.0,32.0,30.3,24.1,70.03,13.0,171.25,0.0
03/31/2015,Chachoengsao Rice research Center,13.873,100.951,30.0,35.5,33.5,22.6,53.55,17.5,203.0,0.0
04/01/2015,Chachoengsao Rice research Center,13.873,100.951,30.0,35.0,33.4,23.9,58.03,17.6,193.7,0.0
04/02/2015,Chachoengsao Rice research Center,13.873,100.951,30.0,34.7,33.1,22.2,53.89,16.6,220.5,0.0
