date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Chai Nat Rice Seed Center 2,14.897,100.345,24.6,29.1,27.2,10.4,35.07,23.1,49.0,0.0
01/02/2015,Chai Nat Rice Seed Center 2,14.897,100.345,23.1,27.6,25.4,11.3,41.82,18.7,48.5,0.0
01/03/2015,Chai Nat Rice Seed Center 2,14.897,100.345,24.6,30.5,28.1,14.7,44.47,11.4,49.67,0.0
01/04/2015,Chai Nat Rice Seed Center 2,14.897,100.345,26.5,31.0,28.8,15.9,45.9,3.4,22.5,0.0
01/05/2015,Chai Nat Rice Seed Center 2,14.897,100.345,28.0,28.0,28.0,18.0,54.52,0.0,0.0,0.0
01/06/2015,Chai Nat Rice Seed Center 2,14.897,100.345,29.0,34.0,32.0,19.3,47.53,6.2,126.33,0.0
01/07/2015,Chai Nat Rice Seed Center 2,14.897,100.345,29.9,33.7,31.8,20.1,50.47,7.2,171.0,0.0
01/08/2015,Chai Nat Rice Seed Center 2,14.897,100.345,25.2,26.0,25.5,20.1,72.09,11.7,70.0,9.02
01/09/2015,Chai Nat Rice Seed Center 2,14.897,100.345,25.6,30.0,27.8,18.9,58.7,7.4,77.0,0.0
01/10/2015,Chai Nat Rice Seed Center 2,14.897,100.345,26.1,26.1,26.1,18.5,63.27,7.1,71.0,0.0
01/11/2015,Chai Nat Rice Seed Center 2,14.897,100.345,22.1,23.8,22.9,16.7,68.04,18.2,122.33,0.3
01/12/2015,Chai Nat Rice Seed Center 2,14.897,100.345,22.1,24.4,23.3,16.0,63.64,13.1,55.5,0.0
01/13/2015,Chai Nat Rice Seed Center 2,14.897,100.345,23.1,28.3,26.2,14.2,47.97,14.6,146.0,0.0
01/14/2015,Chai Nat Rice Seed Center 2,14.897,100.345,23.3,27.1,25.2,9.2,36.83,14.8,49.0,0.0
01/15/2015,Chai Nat Rice Seed Center 2,14.897,100.345,23.4,23.4,23.4,11.5,47.21,12.0,55.0,0.0
01/16/2015,Chai Nat Rice Seed Center 2,14.897,100.345,23.9,29.9,27.5,11.9,38.18,13.4,46.33,0.0
01/17/2015,Chai Nat Rice Seed Center 2,14.897,100.345,23.2,27.7,25.4,12.4,44.78,13.8,58.5,0.0
01/18/2015,Chai Nat Rice Seed Center 2,14.897,100.345,24.5,29.9,27.7,15.6,49.03,12.7,49.33,0.0
01/19/2015,Chai Nat Rice Seed Center 2,14.897,100.345,24.1,28.2,26.1,14.2,48.04,17.7,47.5,0.0
01/20/2015,Chai Nat Rice Seed Center 2,14.897,100.345,25.4,25.4,25.4,15.8,55.6,11.3,63.0,0.0
01/21/2015,Chai Nat Rice Seed Center 2,14.897,100.345,25.6,32.5,29.9,16.0,44.15,3.7,232.67,0.0
01/22/2015,Chai Nat Rice Seed Center 2,14.897,100.345,25.7,31.5,28.6,15.8,46.86,2.8,171.0,0.0
