date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Chiangrai Rice research Center,19.529,99.745,18.0,25.9,22.7,10.4,46.86,18.4,33.9,0.0
01/02/2015,Chiangrai Rice research Center,19.529,99.745,13.0,23.9,19.2,10.8,60.8,11.2,79.83,0.0
01/03/2015,Chiangrai Rice research Center,19.529,99.745,13.0,16.0,14.5,12.0,85.4,0.0,0.0,0.0
01/04/2015,Chiangrai Rice research Center,19.529,99.745,14.0,28.0,22.2,13.9,62.5,5.4,75.0,0.0
01/05/2015,Chiangrai Rice research Center,19.529,99.745,17.0,25.0,20.7,16.5,78.94,5.4,27.5,0.0
01/06/2015,Chiangrai Rice research Center,19.529,99.745,17.0,31.0,26.2,15.2,55.31,9.4,90.0,0.0
01/07/2015,Chiangrai Rice research Center,19.529,99.745,17.0,28.2,22.7,16.0,68.11,7.6,75.0,0.0
01/08/2015,Chiangrai Rice research Center,19.529,99.745,19.0,20.0,19.5,17.5,88.23,3.6,0.0,0.0
01/09/2015,Chiangrai Rice research Center,19.529,99.745,17.0,19.0,18.0,16.7,91.93,13.0,112.63,10.0
01/10/2015,Chiangrai Rice research Center,19.529,99.745,15.0,16.0,15.5,13.9,90.27,22.3,22.75,2.13
01/11/2015,Chiangrai Rice research Center,19.529,99.745,15.0,22.1,19.1,11.6,62.77,14.8,34.3,0.0
01/12/2015,Chiangrai Rice research Center,19.529,99.745,12.0,21.2,17.5,10.9,67.5,22.3,27.6,0.0
01/13/2015,Chiangrai Rice research Center,19.529,99.745,11.0,14.0,12.5,11.0,91.07,9.4,50.0,0.0
01/14/2015,Chiangrai Rice research Center,19.529,99.745,12.0,22.0,17.9,11.2,67.26,13.0,90.67,0.0
01/15/2015,Chiangrai Rice research Center,19.529,99.745,12.0,19.0,15.9,12.7,82.51,13.0,41.33,0.0
01/16/2015,Chiangrai Rice research Center,19.529,99.745,16.0,26.0,21.8,14.8,67.59,7.6,31.86,0.0
01/17/2015,Chiangrai Rice research Center,19.529,99.745,16.0,23.6,20.0,16.2,80.25,7.6,90.8,0.0
01/18/2015,Chiangrai Rice research Center,19.529,99.745,16.0,17.0,16.5,16.5,100.0,1.7,0.0,0.0
01/19/2015,Chiangrai Rice research Center,19.529,99.745,15.0,25.3,21.8,14.1,64.23,11.2,137.5,0.0
01/20/2015,Chiangrai Rice research Center,19.529,99.745,15.0,20.0,17.4,15.8,90.78,9.4,43.33,0.0
01/21/2015,Chiangrai Rice research Center,19.529,99.745,16.0,27.3,23.4,16.0,66.18,16.6,89.3,0.0
01/22/2015,Chiangrai Rice research Center,19.529,99.745,14.0,25.2,19.9,14.9,74.76,9.4,34.33,0.0
01/23/2015,Chiangrai Rice research Center,19.529,99.745,14.0,17.0,15.5,14.0,91.25,0.0,0.0,0.0
01/24/2015,Chiangrai Rice research Center,19.529,99.745,14.0,28.0,22.1,15.1,67.23,9.4,103.83,0.0
01/25/2015,Chiangrai Rice research Center,19.529,99.745,14.0,22.0,18.2,14.8,81.56,3.9,40.0,0.0
01/26/2015,Chiangrai Rice research Center,19.529,99.745,13.0,28.4,22.8,13.2,58.01,7.6,32.1,0.0
01/27/2015,Chiangrai Rice research Center,19.529,99.745,14.0,26.2,20.1,14.5,72.28,5.4,36.4,0.0
01/28/2015,Chiangrai Rice research Center,19.529,99.745,14.0,17.0,15.5,14.5,94.01,0.0,0.0,0.0
01/29/2015,Chiangrai Rice research Center,19.529,99.745,14.0,28.0,22.7,15.3,65.56,9.4,80.0,0.0
01/30/2015,Chiangrai Rice research Center,19.529,99.745,15.0,22.0,18.8,16.1,84.91,11.2,133.33,0.0
01/31/2015,Chiangrai Rice research Center,19.529,99.745,16.0,29.3,23.8,17.5,70.01,16.6,104.11,0.0
02/01/2015,Chiangrai Rice research Center,19.529,99.745,19.0,29.1,25.7,16.9,59.58,14.8,164.0,0.0
02/02/2015,Chiangrai Rice research Center,19.529,99.745,19.0,27.8,23.9,16.6,65.23,9.4,164.8,0.0
02/03/2015,Chiangrai Rice research Center,19.529,99.745,17.0,20.0,18.5,17.5,94.14,5.4,15.0,0.0
02/04/2015,Chiangrai Rice research Center,19.529,99.745,17.0,29.0,23.7,18.0,72.98,7.6,115.83,0.0
02/05/2015,Chiangrai Rice research Center,19.529,99.745,16.0,22.0,19.2,13.4,69.86,7.6,56.33,0.0
02/06/2015,Chiangrai Rice research Center,19.529,99.745,16.0,28.7,24.3,15.8,60.84,13.0,151.75,0.0
02/07/2015,Chiangrai Rice research Center,19.529,99.745,16.0,27.5,21.6,16.3,74.44,7.6,138.0,0.0
02/08/2015,Chiangrai Rice research Center,19.529,99.745,15.0,18.0,16.5,15.0,91.32,5.4,195.0,0.0
02/09/2015,Chiangrai Rice research Center,19.529,99.745,16.0,28.0,23.4,16.9,68.97,7.6,126.83,0.0
02/10/2015,Chiangrai Rice research Center,19.529,99.745,17.0,24.0,20.7,17.6,83.53,5.4,33.33,0.0
02/11/2015,Chiangrai Rice research Center,19.529,99.745,18.0,29.1,24.5,14.4,56.11,9.4,97.63,0.0
02/12/2015,Chiangrai Rice research Center,19.529,99.745,18.0,27.0,22.1,16.1,70.04,9.4,65.0,0.0
02/13/2015,Chiangrai Rice research Center,19.529,99.745,17.0,20.0,18.5,17.5,94.14,5.4,140.0,0.0
02/14/2015,Chiangrai Rice research Center,19.529,99.745,15.0,29.0,24.1,12.6,51.73,9.4,144.83,0.0
02/15/2015,Chiangrai Rice research Center,19.529,99.745,13.0,21.0,17.6,12.3,72.12,1.9,20.0,0.0
02/16/2015,Chiangrai Rice research Center,19.529,99.745,13.0,29.6,23.5,13.8,57.63,7.6,156.14,0.0
02/17/2015,Chiangrai Rice research Center,19.529,99.745,18.0,27.5,22.5,14.8,63.52,11.2,70.8,0.0
02/18/2015,Chiangrai Rice research Center,19.529,99.745,15.0,18.0,16.5,15.0,91.32,3.6,0.0,0.0
02/19/2015,Chiangrai Rice research Center,19.529,99.745,15.0,30.0,23.8,13.7,56.48,7.6,124.2,0.0
02/20/2015,Chiangrai Rice research Center,19.529,99.745,15.0,23.0,19.4,14.9,76.69,7.6,72.0,0.0
02/21/2015,Chiangrai Rice research Center,19.529,99.745,14.0,31.5,25.0,13.3,52.3,7.6,117.4,0.0
02/22/2015,Chiangrai Rice research Center,19.529,99.745,15.0,28.2,21.5,14.7,67.25,9.4,71.4,0.0
02/23/2015,Chiangrai Rice research Center,19.529,99.745,14.0,18.0,16.0,14.0,88.73,3.6,0.0,0.0
02/24/2015,Chiangrai Rice research Center,19.529,99.745,14.0,31.0,23.6,12.4,53.74,11.2,95.71,0.0
02/25/2015,Chiangrai Rice research Center,19.529,99.745,16.0,24.0,19.8,14.2,71.89,5.4,53.0,0.0
02/26/2015,Chiangrai Rice research Center,19.529,99.745,16.0,34.0,27.1,13.1,47.85,14.8,115.89,0.0
02/27/2015,Chiangrai Rice research Center,19.529,99.745,15.0,31.0,23.1,13.7,59.68,9.4,90.0,0.0
02/28/2015,Chiangrai Rice research Center,19.529,99.745,15.0,19.0,17.0,13.0,78.01,0.0,0.0,0.0
03/01/2015,Chiangrai Rice research Center,19.529,99.745,15.0,32.6,25.9,14.8,53.58,9.4,114.29,0.0
