date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Mae Hong Son Rice research Center,19.541,98.211,17.0,30.0,24.9,15.2,59.24,9.4,212.5,0.0
01/02/2015,Mae Hong Son Rice research Center,19.541,98.211,16.0,26.0,21.2,15.0,70.13,5.4,0.0,0.0
01/03/2015,Mae Hong Son Rice research Center,19.541,98.211,16.0,18.0,17.0,15.0,88.21,3.6,0.0,0.0
01/04/2015,Mae Hong Son Rice research Center,19.541,98.211,17.0,30.0,23.9,16.5,66.54,5.4,127.5,0.0
01/05/2015,Mae Hong Son Rice research Center,19.541,98.211,18.0,26.0,21.2,17.9,82.81,3.6,120.0,0.0
01/06/2015,Mae Hong Son Rice research Center,19.541,98.211,19.0,31.0,26.3,17.7,62.28,7.6,0.0,0.0
01/07/2015,Mae Hong Son Rice research Center,19.541,98.211,17.0,26.9,21.3,16.2,74.6,5.4,0.0,0.0
01/08/2015,Mae Hong Son Rice research Center,19.541,98.211,18.0,20.0,19.0,16.5,85.49,3.6,0.0,0.0
01/09/2015,Mae Hong Son Rice research Center,19.541,98.211,21.0,22.4,21.7,19.9,89.24,5.4,175.0,3.0
01/10/2015,Mae Hong Son Rice research Center,19.541,98.211,19.0,23.0,20.6,17.6,83.25,5.4,310.0,0.0
01/11/2015,Mae Hong Son Rice research Center,19.541,98.211,17.0,29.0,23.9,13.9,56.93,9.4,250.0,0.0
01/12/2015,Mae Hong Son Rice research Center,19.541,98.211,15.0,25.5,20.4,14.2,70.56,3.6,113.33,0.0
01/13/2015,Mae Hong Son Rice research Center,19.541,98.211,13.0,15.0,14.0,12.5,90.74,0.0,0.0,0.0
01/14/2015,Mae Hong Son Rice research Center,19.541,98.211,15.0,28.0,21.9,11.7,56.1,9.4,32.5,0.0
01/15/2015,Mae Hong Son Rice research Center,19.541,98.211,15.0,22.0,18.4,14.4,79.05,3.6,0.0,0.0
01/16/2015,Mae Hong Son Rice research Center,19.541,98.211,19.0,30.2,25.7,14.4,53.13,5.4,170.0,0.0
01/17/2015,Mae Hong Son Rice research Center,19.541,98.211,19.0,27.5,23.6,16.2,65.62,5.4,0.0,0.0
