date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,24.6,29.5,27.4,12.3,40.07,9.7,55.0,0.0
01/02/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,23.6,28.0,25.8,11.2,40.9,3.9,45.0,0.0
01/03/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,25.1,29.9,28.1,13.9,42.1,5.5,162.67,0.0
01/04/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,25.1,30.6,27.9,15.1,46.41,0.1,180.0,0.0
01/05/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,26.1,26.1,26.1,19.3,66.3,0.0,0.0,0.0
01/06/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,27.7,34.5,31.6,19.7,50.07,5.3,43.33,0.0
01/07/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,28.6,34.5,31.6,20.7,53.27,0.1,179.0,0.0
01/08/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,25.6,27.0,26.6,19.8,66.76,5.5,75.0,0.8
01/09/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,22.9,27.7,25.3,18.8,68.24,3.7,75.0,0.0
01/10/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,21.7,21.7,21.7,20.6,93.28,0.1,88.0,0.0
01/11/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,19.6,20.2,19.9,19.1,94.86,0.4,12.67,0.6
01/12/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,21.3,23.9,22.6,18.3,77.03,3.7,31.0,0.0
01/13/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,23.6,26.2,25.0,16.4,59.25,5.5,139.0,0.0
01/14/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,23.0,27.5,25.3,10.6,40.05,5.5,89.0,0.0
01/15/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,23.3,23.3,23.3,10.8,45.31,3.7,70.0,0.0
01/16/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,23.5,29.8,26.8,14.1,46.24,0.2,51.67,0.0
01/17/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,23.8,28.0,25.9,12.3,43.08,9.4,104.5,0.0
01/18/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,24.6,30.0,27.7,14.4,44.17,0.2,54.33,0.0
01/19/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,24.8,28.5,26.7,14.7,47.8,9.4,84.5,0.0
01/20/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,24.6,24.6,24.6,14.6,53.71,0.2,80.0,0.0
01/21/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,23.6,32.1,28.7,17.7,52.83,3.6,243.33,0.0
01/22/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,26.4,31.3,28.9,17.1,49.68,0.1,270.0,0.0
01/23/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,25.7,33.5,30.6,15.9,41.88,5.4,173.67,0.0
01/24/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,25.9,31.5,28.7,18.2,53.97,3.6,134.5,0.0
01/25/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,25.9,25.9,25.9,18.2,62.49,0.0,270.0,0.0
01/26/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,26.4,33.6,30.8,18.1,47.95,3.6,49.5,0.0
01/27/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,26.2,32.7,29.4,16.8,47.94,0.1,166.5,0.0
01/28/2015,Nakhon Sawan Rice Seed Center,15.628,100.119,26.6,34.3,31.3,17.4,44.46,3.6,30.0,0.0
