date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Nong Khai Rice research Center,18.163,103.169,17.0,26.0,22.6,9.4,44.58,15.1,58.89,0.0
01/02/2015,Nong Khai Rice research Center,18.163,103.169,14.0,23.3,19.5,10.1,56.35,7.0,271.83,0.0
01/03/2015,Nong Khai Rice research Center,18.163,103.169,15.0,17.0,16.0,12.5,79.79,3.6,290.0,0.0
01/04/2015,Nong Khai Rice research Center,18.163,103.169,17.0,28.0,23.3,14.8,61.65,9.1,161.71,0.0
01/05/2015,Nong Khai Rice research Center,18.163,103.169,17.0,25.0,21.1,16.9,78.12,3.6,140.5,0.0
01/06/2015,Nong Khai Rice research Center,18.163,103.169,20.0,32.6,27.8,18.3,58.28,5.2,169.11,0.0
01/07/2015,Nong Khai Rice research Center,18.163,103.169,21.0,30.0,26.6,19.5,65.92,11.2,77.5,0.0
01/08/2015,Nong Khai Rice research Center,18.163,103.169,22.0,22.0,22.0,16.5,71.03,7.6,90.0,0.0
01/09/2015,Nong Khai Rice research Center,18.163,103.169,20.0,23.0,21.7,14.4,63.31,11.6,99.14,0.0
01/10/2015,Nong Khai Rice research Center,18.163,103.169,17.7,20.0,19.2,11.7,61.96,11.0,108.5,0.0
01/11/2015,Nong Khai Rice research Center,18.163,103.169,15.4,19.0,17.5,15.9,90.65,8.1,174.7,14.33
01/12/2015,Nong Khai Rice research Center,18.163,103.169,17.0,21.2,19.2,14.3,74.22,8.3,128.0,0.0
01/13/2015,Nong Khai Rice research Center,18.163,103.169,15.0,17.0,16.0,10.5,69.9,7.6,55.0,0.0
01/14/2015,Nong Khai Rice research Center,18.163,103.169,14.0,24.0,20.0,9.7,52.55,9.2,137.0,0.0
01/15/2015,Nong Khai Rice research Center,18.163,103.169,15.0,21.0,17.7,10.4,63.27,6.1,132.0,0.0
01/16/2015,Nong Khai Rice research Center,18.163,103.169,15.0,26.0,22.0,12.2,54.93,8.1,127.6,0.0
01/17/2015,Nong Khai Rice research Center,18.163,103.169,15.0,23.5,19.5,10.1,55.83,14.8,95.33,0.0
01/18/2015,Nong Khai Rice research Center,18.163,103.169,16.0,18.0,17.0,12.0,72.56,3.6,115.0,0.0
01/19/2015,Nong Khai Rice research Center,18.163,103.169,16.0,26.0,21.9,12.4,55.82,11.0,158.63,0.0
01/20/2015,Nong Khai Rice research Center,18.163,103.169,16.0,22.0,18.7,13.5,72.4,4.2,260.25,0.0
01/21/2015,Nong Khai Rice research Center,18.163,103.169,17.0,28.0,23.4,15.6,63.16,8.3,191.88,0.0
01/22/2015,Nong Khai Rice research Center,18.163,103.169,18.0,26.3,22.3,14.2,60.89,7.6,129.83,0.0
01/23/2015,Nong Khai Rice research Center,18.163,103.169,18.0,20.0,19.0,13.5,70.77,3.6,65.0,0.0
01/24/2015,Nong Khai Rice research Center,18.163,103.169,18.0,31.0,24.0,16.5,65.86,7.6,210.25,0.0
01/25/2015,Nong Khai Rice research Center,18.163,103.169,18.0,27.0,22.2,16.9,72.95,3.6,216.25,0.0
01/26/2015,Nong Khai Rice research Center,18.163,103.169,18.0,32.0,27.1,16.0,53.33,7.6,194.0,0.0
01/27/2015,Nong Khai Rice research Center,18.163,103.169,20.0,29.0,24.7,16.1,59.86,7.6,129.33,0.0
01/28/2015,Nong Khai Rice research Center,18.163,103.169,18.0,21.0,19.5,15.0,75.6,7.6,260.0,0.0
