date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Pathum Thani Rice research Center,14.017,100.728,21.0,28.5,25.8,15.2,52.36,13.2,73.7,0.0
01/02/2015,Pathum Thani Rice research Center,14.017,100.728,20.0,27.3,23.5,13.6,54.14,11.4,135.17,0.0
01/03/2015,Pathum Thani Rice research Center,14.017,100.728,20.1,22.0,21.0,14.5,66.29,7.6,342.0,0.0
01/04/2015,Pathum Thani Rice research Center,14.017,100.728,21.0,31.0,27.4,17.2,54.63,9.4,190.75,0.0
01/05/2015,Pathum Thani Rice research Center,14.017,100.728,23.0,30.0,26.7,19.3,65.08,5.5,28.25,0.0
01/06/2015,Pathum Thani Rice research Center,14.017,100.728,24.0,33.5,30.5,20.7,57.91,14.7,191.2,0.0
01/07/2015,Pathum Thani Rice research Center,14.017,100.728,26.0,33.6,30.0,22.8,66.22,9.4,174.0,0.0
01/08/2015,Pathum Thani Rice research Center,14.017,100.728,25.0,25.1,25.0,23.0,88.42,11.1,55.5,0.0
01/09/2015,Pathum Thani Rice research Center,14.017,100.728,25.0,30.1,28.3,20.0,61.24,24.1,92.75,0.0
01/10/2015,Pathum Thani Rice research Center,14.017,100.728,26.0,29.0,27.6,20.9,67.21,16.6,68.0,0.0
01/11/2015,Pathum Thani Rice research Center,14.017,100.728,22.0,26.1,24.8,17.3,63.57,24.1,306.2,0.0
01/12/2015,Pathum Thani Rice research Center,14.017,100.728,21.0,24.3,23.1,16.2,65.47,20.3,129.5,0.0
01/13/2015,Pathum Thani Rice research Center,14.017,100.728,22.0,23.0,22.5,15.0,62.41,9.5,55.0,0.0
01/14/2015,Pathum Thani Rice research Center,14.017,100.728,21.0,28.0,25.4,12.0,43.54,16.4,146.0,0.0
01/15/2015,Pathum Thani Rice research Center,14.017,100.728,20.0,26.0,23.0,12.0,50.63,9.4,30.5,0.0
01/16/2015,Pathum Thani Rice research Center,14.017,100.728,21.0,30.6,27.2,12.2,40.75,16.6,45.4,0.0
01/17/2015,Pathum Thani Rice research Center,14.017,100.728,20.0,27.7,24.1,13.2,51.33,13.1,60.83,0.0
01/18/2015,Pathum Thani Rice research Center,14.017,100.728,21.0,23.0,22.0,15.0,64.44,5.6,56.0,0.0
01/19/2015,Pathum Thani Rice research Center,14.017,100.728,21.0,29.0,26.0,15.5,53.51,13.1,62.75,0.0
01/20/2015,Pathum Thani Rice research Center,14.017,100.728,22.0,27.0,24.6,16.4,60.67,13.0,127.25,0.0
01/21/2015,Pathum Thani Rice research Center,14.017,100.728,22.0,32.0,28.8,15.9,47.46,9.4,63.1,0.0
01/22/2015,Pathum Thani Rice research Center,14.017,100.728,23.0,31.9,28.0,16.1,50.33,9.4,38.0,0.0
01/23/2015,Pathum Thani Rice research Center,14.017,100.728,22.0,24.0,23.0,18.5,75.96,9.3,80.5,0.0
01/24/2015,Pathum Thani Rice research Center,14.017,100.728,22.0,32.0,28.4,20.4,65.18,9.4,106.13,0.0
01/25/2015,Pathum Thani Rice research Center,14.017,100.728,23.0,29.0,25.9,22.0,79.69,7.5,107.5,0.0
01/26/2015,Pathum Thani Rice research Center,14.017,100.728,23.0,31.7,28.9,22.2,69.15,9.5,219.1,0.0
01/27/2015,Pathum Thani Rice research Center,14.017,100.728,24.0,32.0,28.0,22.1,72.67,9.4,160.5,0.0
01/28/2015,Pathum Thani Rice research Center,14.017,100.728,24.0,25.0,24.5,23.5,93.89,5.5,69.5,0.0
01/29/2015,Pathum Thani Rice research Center,14.017,100.728,24.0,32.0,29.2,23.2,71.87,9.4,136.13,0.0
01/30/2015,Pathum Thani Rice research Center,14.017,100.728,25.0,30.0,27.5,24.4,83.59,5.8,170.0,0.0
01/31/2015,Pathum Thani Rice research Center,14.017,100.728,26.0,32.0,29.5,22.4,67.64,25.9,108.1,8.19
02/01/2015,Pathum Thani Rice research Center,14.017,100.728,25.0,31.3,28.9,16.5,47.54,24.1,96.2,0.0
02/02/2015,Pathum Thani Rice research Center,14.017,100.728,24.0,30.8,27.7,17.7,54.82,18.5,98.5,0.0
02/03/2015,Pathum Thani Rice research Center,14.017,100.728,24.0,27.0,25.5,19.0,67.41,11.2,65.0,0.0
02/04/2015,Pathum Thani Rice research Center,14.017,100.728,25.0,33.0,30.3,17.9,48.55,18.6,81.75,0.0
02/05/2015,Pathum Thani Rice research Center,14.017,100.728,24.1,30.0,27.0,15.6,50.01,16.7,94.0,0.0
02/06/2015,Pathum Thani Rice research Center,14.017,100.728,23.0,31.7,28.7,15.4,45.23,27.8,108.9,0.0
