date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Prachinburi Rice research Center,14.011,101.216,21.0,29.1,26.0,13.7,47.41,18.4,69.0,0.0
01/02/2015,Prachinburi Rice research Center,14.011,101.216,20.5,27.8,23.9,12.3,48.67,16.6,130.33,0.0
01/03/2015,Prachinburi Rice research Center,14.011,101.216,21.0,22.5,21.7,14.5,63.54,9.3,24.0,0.0
01/04/2015,Prachinburi Rice research Center,14.011,101.216,21.5,31.6,28.0,16.3,50.23,10.2,172.5,0.0
01/05/2015,Prachinburi Rice research Center,14.011,101.216,23.0,29.5,26.6,19.6,66.52,7.3,35.25,0.0
01/06/2015,Prachinburi Rice research Center,14.011,101.216,24.0,34.0,30.8,20.1,54.72,13.9,162.7,0.0
01/07/2015,Prachinburi Rice research Center,14.011,101.216,26.5,33.5,30.0,22.3,64.05,10.2,128.5,0.0
01/08/2015,Prachinburi Rice research Center,14.011,101.216,25.5,26.0,25.7,22.7,83.66,11.1,62.5,0.0
01/09/2015,Prachinburi Rice research Center,14.011,101.216,25.0,31.0,28.7,19.0,56.66,24.1,89.88,0.0
01/10/2015,Prachinburi Rice research Center,14.011,101.216,26.0,29.0,27.6,20.7,66.56,16.6,78.0,0.0
01/11/2015,Prachinburi Rice research Center,14.011,101.216,22.5,29.5,26.2,17.2,58.27,24.1,227.0,0.0
01/12/2015,Prachinburi Rice research Center,14.011,101.216,21.5,28.1,24.1,15.8,60.11,15.9,149.5,0.0
01/13/2015,Prachinburi Rice research Center,14.011,101.216,22.5,23.0,22.7,14.3,58.81,12.9,60.0,0.0
01/14/2015,Prachinburi Rice research Center,14.011,101.216,21.0,28.6,25.5,10.6,39.96,15.9,90.5,0.0
01/15/2015,Prachinburi Rice research Center,14.011,101.216,20.0,26.2,23.4,11.5,47.83,10.2,51.75,0.0
01/16/2015,Prachinburi Rice research Center,14.011,101.216,21.0,31.0,27.5,10.9,36.7,17.4,63.9,0.0
01/17/2015,Prachinburi Rice research Center,14.011,101.216,20.0,28.2,23.8,12.6,49.79,16.7,71.0,0.0
01/18/2015,Prachinburi Rice research Center,14.011,101.216,21.5,23.5,22.5,14.5,60.78,10.0,75.0,0.0
01/19/2015,Prachinburi Rice research Center,14.011,101.216,21.5,29.0,26.0,14.5,49.68,16.7,62.0,0.0
01/20/2015,Prachinburi Rice research Center,14.011,101.216,22.0,27.0,24.7,15.4,56.76,13.8,104.75,0.0
