date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Ratchaburi Rice Seed Center2,13.682,99.77,23.8,27.3,25.9,16.2,55.28,14.6,38.0,0.0
01/02/2015,Ratchaburi Rice Seed Center2,13.682,99.77,23.1,26.6,24.8,13.8,50.43,17.1,10.0,0.0
01/03/2015,Ratchaburi Rice Seed Center2,13.682,99.77,24.2,29.1,27.2,15.8,49.99,9.2,49.33,0.0
01/04/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.3,30.0,27.7,16.3,50.31,7.5,342.0,0.0
01/05/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.7,27.7,27.7,18.7,58.09,10.4,290.0,0.0
01/06/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.8,34.5,32.3,18.6,45.0,6.9,235.33,0.0
01/07/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.3,32.6,30.0,20.8,58.65,4.0,325.0,0.0
01/08/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.2,25.8,25.4,23.8,91.05,5.2,319.33,13.68
01/09/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.1,29.5,27.8,21.2,67.7,10.4,232.5,0.0
01/10/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.8,25.8,25.8,22.2,80.33,5.1,326.0,0.0
01/11/2015,Ratchaburi Rice Seed Center2,13.682,99.77,22.4,23.6,23.2,19.2,78.77,18.3,346.33,0.0
01/12/2015,Ratchaburi Rice Seed Center2,13.682,99.77,22.2,23.9,23.1,17.7,71.95,18.3,176.5,0.0
01/13/2015,Ratchaburi Rice Seed Center2,13.682,99.77,23.1,27.4,25.6,15.4,53.76,12.9,139.33,0.0
01/14/2015,Ratchaburi Rice Seed Center2,13.682,99.77,23.7,27.2,25.5,13.1,46.82,16.1,350.0,0.0
01/15/2015,Ratchaburi Rice Seed Center2,13.682,99.77,23.7,23.7,23.7,12.4,49.05,10.1,2.0,0.0
01/16/2015,Ratchaburi Rice Seed Center2,13.682,99.77,24.8,29.8,27.8,13.7,42.31,10.3,118.67,0.0
01/17/2015,Ratchaburi Rice Seed Center2,13.682,99.77,23.4,27.1,25.3,13.6,48.97,15.0,187.5,0.0
01/18/2015,Ratchaburi Rice Seed Center2,13.682,99.77,24.3,29.3,27.3,16.0,50.24,8.3,138.33,0.0
01/19/2015,Ratchaburi Rice Seed Center2,13.682,99.77,23.8,27.8,25.8,16.3,55.95,13.4,182.5,0.0
01/20/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.2,25.2,25.2,16.6,59.02,4.7,360.0,0.0
01/21/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.0,31.5,29.4,17.6,49.85,5.3,51.67,0.0
01/22/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.5,31.2,28.4,17.2,51.46,4.7,232.0,0.0
01/23/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.1,32.1,29.6,17.0,47.38,10.4,205.67,0.0
01/24/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.5,32.0,29.3,17.0,48.56,1.5,133.0,0.0
01/25/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.9,25.9,25.9,18.0,61.99,2.2,360.0,0.0
01/26/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.4,32.6,29.9,18.6,51.69,6.0,28.33,0.0
01/27/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.4,32.1,28.7,19.6,59.13,3.9,235.5,0.0
01/28/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.1,33.3,30.5,18.5,50.11,2.9,153.33,0.0
01/29/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.1,32.3,29.2,21.4,63.71,2.5,193.5,0.0
01/30/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.4,27.4,27.4,22.8,76.22,1.7,14.0,0.0
01/31/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.5,32.2,30.8,22.7,62.7,11.7,103.0,9.0
2/1/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.7,30.9,29.6,18.8,53.54,11.1,77.67,0.0
2/2/2015,Ratchaburi Rice Seed Center2,13.682,99.77,25.8,30.0,27.9,18.0,55.27,8.6,28.0,0.0
2/3/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.5,32.2,30.5,18.8,50.03,7.2,35.33,0.0
2/4/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.1,32.9,30.5,18.0,47.46,10.4,61.5,0.0
2/5/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.9,27.9,27.9,17.8,54.24,4.6,25.0,0.0
2/6/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.5,32.0,30.3,15.7,41.97,6.8,95.33,0.0
2/7/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.4,32.0,29.7,16.1,44.98,4.7,71.0,0.0
2/8/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.1,32.0,29.6,17.2,47.91,8.4,87.67,0.0
2/9/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.2,30.3,28.3,18.1,55.1,10.4,62.5,0.0
2/10/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.6,26.6,26.6,19.1,63.58,2.5,23.0,0.0
2/11/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.5,33.7,31.2,17.1,43.86,6.9,76.0,0.0
2/12/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.9,33.3,30.6,19.7,53.09,5.3,169.0,0.0
2/13/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.6,33.2,31.4,20.4,52.71,10.8,113.67,0.0
2/14/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.4,33.2,30.8,17.1,46.1,4.0,254.5,0.0
2/15/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.7,26.7,26.7,19.0,62.77,4.6,284.0,0.0
2/16/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.3,32.5,31.1,21.7,58.14,5.6,175.0,0.0
2/17/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.9,33.3,31.1,21.1,55.93,9.0,125.5,0.0
2/18/2015,Ratchaburi Rice Seed Center2,13.682,99.77,29.1,33.8,31.8,20.9,53.3,13.8,154.33,0.0
2/19/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.9,33.2,31.0,21.7,58.67,3.5,251.5,0.0
2/20/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.0,27.0,27.0,24.3,85.2,2.1,259.0,0.0
2/21/2015,Ratchaburi Rice Seed Center2,13.682,99.77,30.3,33.1,31.9,22.8,58.89,10.5,147.33,0.0
2/22/2015,Ratchaburi Rice Seed Center2,13.682,99.77,29.1,33.0,31.1,22.2,59.75,9.1,137.5,0.0
2/23/2015,Ratchaburi Rice Seed Center2,13.682,99.77,29.8,34.5,32.6,21.8,53.6,11.3,129.33,0.0
2/24/2015,Ratchaburi Rice Seed Center2,13.682,99.77,30.7,34.5,32.6,20.9,50.93,6.1,225.0,0.0
2/25/2015,Ratchaburi Rice Seed Center2,13.682,99.77,30.4,30.4,30.4,21.4,58.72,3.0,157.0,0.0
2/26/2015,Ratchaburi Rice Seed Center2,13.682,99.77,30.1,35.1,33.3,21.0,49.71,9.5,102.0,0.0
2/27/2015,Ratchaburi Rice Seed Center2,13.682,99.77,30.1,34.7,32.4,21.2,52.35,4.3,353.5,0.0
2/28/2015,Ratchaburi Rice Seed Center3,13.682,99.77,30.1,34.7,32.4,21.2,52.35,4.3,353.5,0.0
03/01/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.2,35.0,33.7,23.0,54.12,8.5,135.0,0.0
03/02/2015,Ratchaburi Rice Seed Center2,13.682,99.77,28.7,33.6,31.1,24.5,68.42,0.8,88.5,0.1
03/03/2015,Ratchaburi Rice Seed Center2,13.682,99.77,30.6,35.2,33.3,22.1,52.41,6.2,98.0,0.0
03/04/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.2,35.7,33.4,22.4,53.11,6.4,283.0,0.0
03/05/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.6,31.6,31.6,20.6,52.02,5.3,103.0,0.0
03/06/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.6,34.8,33.4,24.6,60.32,12.0,141.67,0.0
03/07/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.3,34.6,33.0,24.3,60.64,12.3,124.5,0.0
03/08/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.2,35.2,33.6,22.7,53.85,11.3,141.33,0.0
03/09/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.3,35.2,33.3,22.8,54.8,6.8,91.5,0.0
03/10/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.3,31.3,31.3,22.7,60.38,4.8,158.0,0.0
03/11/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.3,35.8,34.1,21.5,48.56,11.3,144.67,0.0
03/12/2015,Ratchaburi Rice Seed Center2,13.682,99.77,29.7,31.0,30.3,23.4,66.73,7.2,109.0,0.0
03/13/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.2,36.0,34.2,22.5,51.35,11.6,171.33,0.0
03/14/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.2,35.2,33.2,22.3,53.44,10.4,121.5,0.0
03/15/2015,Ratchaburi Rice Seed Center2,13.682,99.77,32.0,32.0,32.0,20.3,50.01,6.6,349.0,0.0
03/16/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.7,35.6,33.8,22.7,52.8,8.4,128.0,0.0
03/17/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.2,35.5,33.4,23.2,56.3,4.8,175.5,0.0
03/18/2015,Ratchaburi Rice Seed Center2,13.682,99.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/19/2015,Ratchaburi Rice Seed Center2,13.682,99.77,30.2,34.9,32.6,23.0,58.02,9.6,197.0,0.0
03/20/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.1,31.1,31.1,25.4,71.91,9.4,167.0,0.0
03/21/2015,Ratchaburi Rice Seed Center2,13.682,99.77,32.3,35.3,33.6,25.2,61.81,12.9,127.0,0.0
03/22/2015,Ratchaburi Rice Seed Center2,13.682,99.77,29.2,32.6,30.9,23.3,64.28,6.4,82.5,9.2
03/23/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.4,34.0,32.3,24.7,64.44,11.0,149.0,0.0
03/24/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.0,33.6,32.3,22.7,57.42,7.1,98.5,0.0
03/25/2015,Ratchaburi Rice Seed Center2,13.682,99.77,27.9,27.9,27.9,21.4,67.62,14.9,13.0,0.0
03/26/2015,Ratchaburi Rice Seed Center2,13.682,99.77,29.1,33.2,31.6,22.2,57.95,16.7,28.67,0.0
03/27/2015,Ratchaburi Rice Seed Center2,13.682,99.77,29.4,32.3,30.8,21.1,56.33,10.5,18.5,0.0
03/28/2015,Ratchaburi Rice Seed Center2,13.682,99.77,30.3,34.4,32.8,22.4,54.87,10.0,159.67,0.0
03/29/2015,Ratchaburi Rice Seed Center2,13.682,99.77,26.6,32.0,29.3,22.4,67.5,5.3,332.5,3.77
03/30/2015,Ratchaburi Rice Seed Center2,13.682,99.77,32.0,32.0,32.0,22.8,58.37,3.5,82.0,0.0
03/31/2015,Ratchaburi Rice Seed Center2,13.682,99.77,32.7,36.6,35.0,22.4,48.57,9.1,159.33,0.0
04/01/2015,Ratchaburi Rice Seed Center2,13.682,99.77,34.0,36.9,35.9,21.5,43.85,9.8,249.33,0.0
04/02/2015,Ratchaburi Rice Seed Center2,13.682,99.77,33.6,37.8,35.7,18.3,36.76,12.0,297.0,0.0
04/03/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.9,37.9,35.4,20.0,40.73,11.4,146.67,0.0
04/04/2015,Ratchaburi Rice Seed Center2,13.682,99.77,31.9,37.0,34.5,20.6,44.8,8.3,190.5,0.0
04/05/2015,Ratchaburi Rice Seed Center2,13.682,99.77,32.8,32.8,32.8,23.5,58.22,5.2,147.0,0.0
04/06/2015,Ratchaburi Rice Seed Center2,13.682,99.77,33.3,37.4,35.7,22.3,46.5,12.1,106.33,0.0
04/07/2015,Ratchaburi Rice Seed Center2,13.682,99.77,33.3,37.1,35.2,23.7,51.82,10.6,105.0,0.0
04/08/2015,Ratchaburi Rice Seed Center2,13.682,99.77,24.3,32.0,28.3,22.8,72.78,12.7,149.33,19.4
