date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Samoeng Rice research Center,18.849,98.768,20.0,28.0,25.1,14.1,52.22,9.4,128.5,0.0
01/02/2015,Samoeng Rice research Center,18.849,98.768,17.0,26.1,22.6,12.1,53.4,9.4,97.5,0.0
01/03/2015,Samoeng Rice research Center,18.849,98.768,17.0,19.0,18.0,14.0,77.64,3.6,160.0,0.0
01/04/2015,Samoeng Rice research Center,18.849,98.768,18.0,29.0,24.5,13.8,53.42,9.4,168.38,0.0
01/05/2015,Samoeng Rice research Center,18.849,98.768,19.0,26.0,22.8,16.4,68.31,5.4,159.75,0.0
01/06/2015,Samoeng Rice research Center,18.849,98.768,20.0,32.1,27.9,15.1,49.16,16.6,131.1,0.0
01/07/2015,Samoeng Rice research Center,18.849,98.768,19.0,30.1,24.8,15.9,60.1,5.4,144.67,0.0
01/08/2015,Samoeng Rice research Center,18.849,98.768,22.0,22.0,22.0,18.0,78.06,3.6,60.0,0.0
01/09/2015,Samoeng Rice research Center,18.849,98.768,20.0,20.0,20.0,18.1,89.06,7.6,213.75,10.81
01/10/2015,Samoeng Rice research Center,18.849,98.768,19.0,21.0,19.9,17.2,84.37,7.6,207.5,0.8
01/11/2015,Samoeng Rice research Center,18.849,98.768,18.0,24.7,22.5,12.7,54.75,22.3,187.8,0.0
01/12/2015,Samoeng Rice research Center,18.849,98.768,19.0,25.0,21.9,10.7,49.84,25.9,69.0,0.0
01/13/2015,Samoeng Rice research Center,18.849,98.768,14.0,16.0,15.0,11.5,79.65,7.6,225.0,0.0
01/14/2015,Samoeng Rice research Center,18.849,98.768,16.0,25.0,21.0,9.6,50.2,11.2,107.0,0.0
01/15/2015,Samoeng Rice research Center,18.849,98.768,16.0,22.0,19.4,13.2,68.05,5.4,107.5,0.0
01/16/2015,Samoeng Rice research Center,18.849,98.768,19.0,28.5,24.4,13.0,51.76,9.4,204.7,0.0
01/17/2015,Samoeng Rice research Center,18.849,98.768,18.0,24.6,21.1,15.1,69.39,9.4,163.83,0.0
01/18/2015,Samoeng Rice research Center,18.849,98.768,16.0,18.0,17.0,14.5,85.28,5.4,75.0,0.0
01/19/2015,Samoeng Rice research Center,18.849,98.768,17.0,26.0,22.9,13.4,57.05,14.8,194.25,0.0
01/20/2015,Samoeng Rice research Center,18.849,98.768,17.0,23.0,20.1,15.1,73.87,7.6,220.25,0.0
01/21/2015,Samoeng Rice research Center,18.849,98.768,18.0,29.4,25.4,14.3,53.55,13.0,123.9,0.0
01/22/2015,Samoeng Rice research Center,18.849,98.768,18.0,27.3,22.6,14.8,63.81,9.4,160.17,0.0
01/23/2015,Samoeng Rice research Center,18.849,98.768,17.0,20.0,18.5,14.5,77.72,0.0,0.0,0.0
01/24/2015,Samoeng Rice research Center,18.849,98.768,16.0,28.0,23.7,12.9,53.52,13.0,183.5,0.0
01/25/2015,Samoeng Rice research Center,18.849,98.768,17.0,24.0,20.4,14.0,67.89,7.6,7.75,0.0
01/26/2015,Samoeng Rice research Center,18.849,98.768,17.0,30.0,25.1,12.7,49.4,7.6,121.9,0.0
01/27/2015,Samoeng Rice research Center,18.849,98.768,17.0,28.2,22.9,14.4,61.24,5.4,152.83,0.0
01/28/2015,Samoeng Rice research Center,18.849,98.768,17.0,20.0,18.5,14.5,77.72,3.6,85.0,0.0
01/29/2015,Samoeng Rice research Center,18.849,98.768,17.0,30.0,24.3,13.7,55.16,7.6,141.25,0.0
01/30/2015,Samoeng Rice research Center,18.849,98.768,17.0,24.0,20.4,14.9,71.75,3.6,202.5,0.0
01/31/2015,Samoeng Rice research Center,18.849,98.768,17.0,31.2,26.2,13.7,48.63,11.2,108.5,0.0
02/01/2015,Samoeng Rice research Center,18.849,98.768,22.0,30.3,27.4,15.5,49.94,16.6,200.2,0.0
02/02/2015,Samoeng Rice research Center,18.849,98.768,20.0,28.8,25.1,15.4,57.04,11.2,151.5,0.0
02/03/2015,Samoeng Rice research Center,18.849,98.768,20.0,21.0,20.5,17.0,80.39,3.6,105.0,0.0
