date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Sukhothai Rice Seed Center,17.311,99.709,18.0,29.0,25.9,16.8,59.99,10.1,232.71,0.0
01/02/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,25.5,22.3,12.9,56.57,9.4,159.67,0.0
01/03/2015,Sukhothai Rice Seed Center,17.311,99.709,16.0,18.0,17.0,14.5,85.63,11.2,25.0,0.0
01/04/2015,Sukhothai Rice Seed Center,17.311,99.709,18.0,30.0,24.1,14.3,57.49,7.6,248.5,0.0
01/05/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,24.4,21.7,17.6,78.37,3.6,351.0,0.0
01/06/2015,Sukhothai Rice Seed Center,17.311,99.709,21.0,33.0,28.7,18.1,54.6,11.2,180.56,0.0
01/07/2015,Sukhothai Rice Seed Center,17.311,99.709,21.0,32.1,25.6,20.2,74.33,9.4,178.25,0.0
01/08/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,23.0,23.0,21.5,91.31,5.4,80.0,0.0
01/09/2015,Sukhothai Rice Seed Center,17.311,99.709,22.0,22.1,22.0,20.4,90.5,5.4,23.83,8.0
01/10/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,19.2,19.1,18.9,99.22,18.4,57.5,6.94
01/11/2015,Sukhothai Rice Seed Center,17.311,99.709,18.0,23.0,20.8,18.0,84.73,11.2,75.5,1.12
01/12/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,25.9,22.6,16.4,69.18,13.0,137.2,0.0
01/13/2015,Sukhothai Rice Seed Center,17.311,99.709,17.0,19.0,18.0,14.5,80.39,13.0,170.0,0.0
01/14/2015,Sukhothai Rice Seed Center,17.311,99.709,17.0,26.0,22.1,14.1,61.99,15.2,216.14,0.0
01/15/2015,Sukhothai Rice Seed Center,17.311,99.709,16.0,24.0,19.3,14.2,74.67,11.2,24.25,0.0
01/16/2015,Sukhothai Rice Seed Center,17.311,99.709,18.0,29.2,25.1,15.5,57.18,9.4,201.56,0.0
01/17/2015,Sukhothai Rice Seed Center,17.311,99.709,18.0,26.0,22.2,15.9,69.78,8.3,215.4,0.0
01/18/2015,Sukhothai Rice Seed Center,17.311,99.709,17.0,19.0,18.0,16.0,88.3,5.4,180.0,0.0
01/19/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,28.0,24.1,15.5,60.79,11.2,199.71,0.0
01/20/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,22.2,20.4,17.6,83.93,9.4,98.67,0.0
01/21/2015,Sukhothai Rice Seed Center,17.311,99.709,18.0,30.9,26.0,17.2,61.26,6.0,239.22,0.0
01/22/2015,Sukhothai Rice Seed Center,17.311,99.709,21.0,28.5,25.1,18.8,69.23,9.4,185.5,0.0
01/23/2015,Sukhothai Rice Seed Center,17.311,99.709,29.0,29.0,29.0,18.0,51.5,9.4,30.0,0.0
01/24/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,30.0,25.1,17.5,66.15,11.2,151.0,0.0
01/25/2015,Sukhothai Rice Seed Center,17.311,99.709,18.0,21.9,19.6,17.1,85.96,9.4,241.33,0.0
01/26/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,32.0,26.2,15.8,57.09,9.4,213.5,0.0
01/27/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,30.5,23.2,16.8,70.34,8.9,341.5,0.0
01/28/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,21.0,20.0,17.0,83.05,9.4,350.0,0.0
01/29/2015,Sukhothai Rice Seed Center,17.311,99.709,18.0,32.0,25.3,15.6,58.88,9.4,235.57,0.0
01/30/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,24.0,21.3,16.4,73.97,7.6,328.33,0.0
01/31/2015,Sukhothai Rice Seed Center,17.311,99.709,21.0,31.1,27.2,18.8,62.14,14.8,172.0,0.0
02/01/2015,Sukhothai Rice Seed Center,17.311,99.709,21.0,31.0,27.8,17.7,56.97,11.2,164.89,0.0
02/02/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,30.0,24.9,19.0,71.71,13.0,248.6,0.0
02/03/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,23.0,21.5,18.0,80.87,13.0,190.0,0.0
02/04/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,32.0,27.4,18.6,61.67,13.0,145.14,0.0
02/05/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,25.6,22.5,18.9,80.96,0.0,0.0,0.0
02/06/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,32.0,27.8,17.8,56.6,13.0,118.22,0.0
02/07/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,30.5,23.8,16.8,68.21,6.8,208.5,0.0
02/08/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,20.0,20.0,19.0,93.97,9.4,20.0,0.0
02/09/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,31.0,26.5,18.0,62.93,9.4,113.5,0.0
02/10/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,25.0,22.0,19.3,85.05,6.7,18.67,0.0
02/11/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,32.0,27.7,17.5,56.11,5.4,115.63,0.0
02/12/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,30.8,25.0,19.1,72.12,5.4,121.0,0.0
02/13/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,26.0,25.0,22.0,83.62,7.6,150.0,0.0
02/14/2015,Sukhothai Rice Seed Center,17.311,99.709,19.0,33.0,27.4,16.9,57.45,16.6,211.0,0.0
02/15/2015,Sukhothai Rice Seed Center,17.311,99.709,16.0,23.8,19.6,14.6,73.83,9.4,201.67,0.0
02/16/2015,Sukhothai Rice Seed Center,17.311,99.709,20.0,32.3,28.1,17.5,54.33,7.6,159.7,0.0
02/17/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,30.3,27.1,17.3,56.24,9.1,160.0,0.0
02/18/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,23.0,23.0,21.5,91.31,5.4,360.0,0.0
02/19/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,33.0,28.1,21.3,68.29,8.0,218.5,8.9
02/20/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,27.0,25.6,22.0,80.98,11.2,138.25,0.0
02/21/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,34.0,29.7,20.4,59.35,11.2,195.56,0.0
02/22/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,31.5,27.8,20.2,64.29,9.9,224.83,0.0
02/23/2015,Sukhothai Rice Seed Center,17.311,99.709,22.0,24.0,23.0,19.5,81.03,5.4,300.0,0.0
02/24/2015,Sukhothai Rice Seed Center,17.311,99.709,22.0,36.0,29.8,18.0,54.41,14.8,266.57,0.0
02/25/2015,Sukhothai Rice Seed Center,17.311,99.709,22.0,28.0,25.4,19.4,69.72,9.4,199.25,0.0
02/26/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,35.0,30.5,19.1,53.67,9.4,220.14,0.0
02/27/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,32.5,28.4,19.9,62.61,7.8,185.6,0.0
02/28/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,25.0,24.5,21.0,80.9,3.6,60.0,0.0
03/01/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,36.1,31.5,21.2,56.09,9.4,209.88,0.0
03/02/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,33.3,29.3,23.4,71.45,14.8,143.75,0.0
03/03/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,26.0,25.0,24.5,97.12,0.0,0.0,0.0
03/04/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,35.0,30.9,23.7,67.82,13.0,171.5,0.0
03/05/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,31.6,28.1,23.0,74.7,7.6,258.5,0.0
03/06/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,37.1,32.5,20.7,53.69,11.3,184.38,0.0
03/07/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,34.6,29.1,23.8,74.88,11.2,159.6,0.0
03/08/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,26.0,26.0,23.0,83.57,9.4,140.0,0.0
03/09/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,36.0,31.5,22.2,59.3,11.2,151.38,0.0
03/10/2015,Sukhothai Rice Seed Center,17.311,99.709,28.0,31.3,29.8,23.6,69.65,13.0,136.67,0.0
03/11/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,36.2,33.0,23.2,57.71,13.0,184.13,1.64
03/12/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,35.4,30.4,23.4,67.66,14.8,124.0,0.0
03/13/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,29.0,28.0,22.5,72.38,5.4,190.0,0.0
03/14/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,37.0,32.1,21.7,56.7,13.0,191.43,0.0
03/15/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,31.2,28.1,21.7,69.66,3.6,202.0,0.0
03/16/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,35.0,31.9,21.4,55.33,5.4,203.14,0.0
03/17/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,33.1,28.2,22.7,74.57,3.9,206.33,0.0
03/18/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,28.0,27.0,24.5,86.27,14.8,140.0,0.0
03/19/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,36.0,31.1,24.0,67.86,11.2,170.5,0.0
03/20/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,31.6,28.9,24.1,75.86,5.4,175.0,0.0
03/21/2015,Sukhothai Rice Seed Center,17.311,99.709,29.0,35.2,32.7,25.0,64.41,14.8,172.44,0.0
03/22/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,33.9,28.5,22.7,71.81,6.0,218.5,0.0
03/23/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,26.0,26.0,23.0,83.57,3.6,60.0,0.0
03/24/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,29.8,26.4,22.3,78.58,27.7,106.5,0.0
03/25/2015,Sukhothai Rice Seed Center,17.311,99.709,22.0,23.8,22.9,22.5,97.6,13.0,232.33,0.75
03/26/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,27.0,25.6,21.6,79.07,29.5,136.78,19.4
03/27/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,30.7,26.6,21.9,77.43,9.4,144.33,10.5
03/28/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,27.0,26.0,22.0,78.8,13.0,40.0,0.0
03/29/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,35.0,30.4,21.3,59.67,13.0,197.57,0.0
03/30/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,29.6,27.3,22.3,74.89,3.6,76.5,0.0
03/31/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,38.0,33.1,21.6,53.23,7.6,141.9,0.0
04/01/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,38.0,33.8,18.9,45.26,31.7,225.88,0.0
04/02/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,34.8,29.4,20.3,59.31,11.2,228.75,0.0
04/03/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,29.0,28.0,20.0,61.96,5.4,140.0,0.0
04/04/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,39.0,33.5,20.4,48.14,11.2,164.43,0.0
04/05/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,32.3,29.4,22.1,64.99,11.2,136.67,0.0
04/06/2015,Sukhothai Rice Seed Center,17.311,99.709,29.0,38.3,34.8,22.2,49.53,13.0,191.89,0.0
04/07/2015,Sukhothai Rice Seed Center,17.311,99.709,28.0,37.8,33.2,21.9,53.14,11.2,184.67,0.0
04/08/2015,Sukhothai Rice Seed Center,17.311,99.709,28.0,29.0,28.5,23.0,72.21,5.4,95.0,0.0
04/09/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,36.0,31.5,22.6,61.24,14.8,161.8,0.0
04/10/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,31.9,28.6,23.1,72.85,7.6,158.33,0.0
04/11/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,36.0,33.3,23.6,58.21,22.3,133.38,0.0
04/12/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,33.2,29.1,23.1,70.56,5.4,163.5,0.0
04/13/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,26.0,26.0,22.0,78.64,3.6,10.0,0.0
04/14/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,35.0,31.0,20.5,56.12,13.0,104.0,0.0
04/15/2015,Sukhothai Rice Seed Center,17.311,99.709,23.0,29.7,25.9,14.4,49.48,7.6,226.67,0.0
04/16/2015,Sukhothai Rice Seed Center,17.311,99.709,25.0,38.1,33.4,18.2,42.2,11.2,156.13,0.0
04/17/2015,Sukhothai Rice Seed Center,17.311,99.709,28.0,34.9,31.2,21.2,56.03,9.4,165.0,0.0
04/18/2015,Sukhothai Rice Seed Center,17.311,99.709,28.0,28.0,28.0,23.0,74.3,11.2,150.0,0.0
04/19/2015,Sukhothai Rice Seed Center,17.311,99.709,29.0,40.0,35.1,20.5,44.77,24.1,217.83,0.0
04/20/2015,Sukhothai Rice Seed Center,17.311,99.709,30.0,35.1,32.4,21.8,53.85,9.4,197.33,0.0
04/21/2015,Sukhothai Rice Seed Center,17.311,99.709,31.0,41.0,37.3,20.8,39.98,18.4,194.0,0.0
04/22/2015,Sukhothai Rice Seed Center,17.311,99.709,30.0,38.1,35.0,22.3,48.24,14.8,228.5,0.0
04/23/2015,Sukhothai Rice Seed Center,17.311,99.709,24.0,27.0,25.5,23.0,86.46,5.4,180.0,0.0
04/24/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,36.0,32.6,22.4,56.63,13.0,103.43,0.0
04/25/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,30.4,28.2,23.5,76.01,4.8,53.5,0.0
04/26/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,32.1,30.6,23.5,66.8,18.4,116.5,15.96
04/27/2015,Sukhothai Rice Seed Center,17.311,99.709,27.0,35.3,30.6,23.5,67.64,7.6,73.67,0.0
04/28/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,28.0,27.0,23.5,81.53,11.2,330.0,0.0
04/29/2015,Sukhothai Rice Seed Center,17.311,99.709,29.0,37.0,33.3,23.0,56.05,13.0,183.17,0.0
04/30/2015,Sukhothai Rice Seed Center,17.311,99.709,30.0,34.2,31.7,23.4,61.61,13.0,269.67,0.0
05/01/2015,Sukhothai Rice Seed Center,17.311,99.709,29.0,40.0,36.1,19.0,38.33,13.1,217.63,0.0
05/02/2015,Sukhothai Rice Seed Center,17.311,99.709,31.0,38.2,34.0,21.1,47.25,18.4,269.5,0.0
05/03/2015,Sukhothai Rice Seed Center,17.311,99.709,30.0,32.0,31.0,23.5,64.67,14.8,220.0,0.0
05/04/2015,Sukhothai Rice Seed Center,17.311,99.709,30.0,40.0,35.6,22.9,49.26,13.0,185.75,0.0
05/05/2015,Sukhothai Rice Seed Center,17.311,99.709,30.0,33.6,31.8,25.0,67.8,7.3,183.5,0.0
05/06/2015,Sukhothai Rice Seed Center,17.311,99.709,26.0,37.9,33.8,23.6,57.05,11.2,92.63,0.0
05/07/2015,Sukhothai Rice Seed Center,17.311,99.709,29.0,37.1,33.0,25.0,63.63,9.4,138.0,0.0
05/08/2015,Sukhothai Rice Seed Center,17.311,99.709,30.0,32.0,31.0,23.5,64.67,14.8,150.0,0.0
05/09/2015,Sukhothai Rice Seed Center,17.311,99.709,30.0,38.0,35.0,24.5,55.26,13.0,181.14,0.0
05/10/2015,Sukhothai Rice Seed Center,17.311,99.709,29.0,32.2,30.4,24.5,70.97,0.6,94.33,0.0
