date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Surin Rice research Center,14.908,103.506,21.3,28.0,26.2,12.0,41.61,14.8,32.8,0.0
01/02/2015,Surin Rice research Center,14.908,103.506,21.1,26.5,23.8,12.9,50.96,14.5,56.0,0.0
01/03/2015,Surin Rice research Center,14.908,103.506,22.6,29.0,27.3,15.3,48.84,11.5,49.4,0.0
01/04/2015,Surin Rice research Center,14.908,103.506,24.6,31.0,29.1,16.5,47.42,6.4,123.33,0.0
01/05/2015,Surin Rice research Center,14.908,103.506,27.9,27.9,27.9,18.9,58.07,1.2,22.0,0.0
01/06/2015,Surin Rice research Center,14.908,103.506,29.6,34.3,32.9,17.9,41.41,5.4,160.0,0.0
01/07/2015,Surin Rice research Center,14.908,103.506,27.4,32.6,30.0,20.9,58.66,5.7,47.0,0.0
01/08/2015,Surin Rice research Center,14.908,103.506,25.1,30.1,28.2,17.7,53.48,11.2,31.8,0.0
01/09/2015,Surin Rice research Center,14.908,103.506,22.0,32.0,27.3,18.6,59.55,11.2,57.0,0.0
01/10/2015,Surin Rice research Center,14.908,103.506,20.0,24.7,22.4,16.9,71.77,7.6,67.0,0.0
01/11/2015,Surin Rice research Center,14.908,103.506,19.0,27.3,24.1,15.0,57.99,11.2,119.29,0.0
01/12/2015,Surin Rice research Center,14.908,103.506,20.1,23.8,21.9,12.9,56.77,5.8,44.0,0.0
01/13/2015,Surin Rice research Center,14.908,103.506,20.6,27.0,25.3,12.7,46.24,16.6,48.8,0.0
01/14/2015,Surin Rice research Center,14.908,103.506,19.0,27.0,24.1,13.7,52.55,13.0,45.0,0.0
01/15/2015,Surin Rice research Center,14.908,103.506,20.8,20.8,20.8,12.7,59.78,6.4,40.0,0.0
01/16/2015,Surin Rice research Center,14.908,103.506,20.9,28.0,25.9,10.1,38.2,13.0,53.8,0.0
01/17/2015,Surin Rice research Center,14.908,103.506,15.0,26.2,20.7,12.4,60.68,13.6,56.5,0.0
01/18/2015,Surin Rice research Center,14.908,103.506,21.1,29.0,26.9,13.9,45.68,10.6,34.0,0.0
01/19/2015,Surin Rice research Center,14.908,103.506,20.5,28.0,25.8,14.4,50.45,13.0,76.33,0.0
01/20/2015,Surin Rice research Center,14.908,103.506,22.0,22.0,22.0,13.2,57.27,6.4,50.0,0.0
01/21/2015,Surin Rice research Center,14.908,103.506,25.1,30.9,29.3,12.3,35.96,13.0,47.5,0.0
01/22/2015,Surin Rice research Center,14.908,103.506,22.0,29.3,25.6,13.1,47.56,12.5,65.0,0.0
01/23/2015,Surin Rice research Center,14.908,103.506,26.7,31.9,30.3,13.1,35.4,7.9,55.0,0.0
01/24/2015,Surin Rice research Center,14.908,103.506,26.8,33.0,31.0,13.8,36.43,4.6,184.5,0.0
01/25/2015,Surin Rice research Center,14.908,103.506,27.1,27.1,27.1,16.6,52.72,6.9,243.0,0.0
01/26/2015,Surin Rice research Center,14.908,103.506,22.0,34.0,29.7,15.7,45.79,9.4,126.2,0.0
01/27/2015,Surin Rice research Center,14.908,103.506,27.8,32.8,30.3,17.4,47.23,6.4,190.0,0.0
01/28/2015,Surin Rice research Center,14.908,103.506,28.7,34.0,32.7,15.5,36.78,7.6,248.0,0.0
01/29/2015,Surin Rice research Center,14.908,103.506,23.0,34.0,29.5,19.2,57.08,10.9,146.67,0.0
01/30/2015,Surin Rice research Center,14.908,103.506,24.5,24.5,24.5,17.2,64.05,12.4,80.0,0.0
01/31/2015,Surin Rice research Center,14.908,103.506,23.7,30.6,28.4,16.1,47.84,13.0,34.0,0.0
2/1/2015,Surin Rice research Center,14.908,103.506,24.5,30.2,28.6,13.3,39.66,22.3,48.5,0.0
2/2/2015,Surin Rice research Center,14.908,103.506,26.1,30.6,28.4,17.5,52.37,9.4,60.0,0.0
2/3/2015,Surin Rice research Center,14.908,103.506,25.1,31.7,29.8,16.7,46.13,12.4,48.0,0.0
2/4/2015,Surin Rice research Center,14.908,103.506,24.8,31.0,29.1,13.9,40.92,14.8,71.75,0.0
2/5/2015,Surin Rice research Center,14.908,103.506,23.6,23.6,23.6,15.8,61.73,12.7,44.0,0.0
2/6/2015,Surin Rice research Center,14.908,103.506,22.0,29.6,27.3,13.9,44.26,11.2,53.0,0.0
2/7/2015,Surin Rice research Center,14.908,103.506,24.1,29.3,26.7,15.5,50.87,6.4,41.5,0.0
2/8/2015,Surin Rice research Center,14.908,103.506,23.9,30.3,28.5,14.0,42.14,16.6,69.4,0.0
2/9/2015,Surin Rice research Center,14.908,103.506,22.1,29.0,27.0,14.7,47.92,9.4,29.75,0.0
2/10/2015,Surin Rice research Center,14.908,103.506,22.8,22.8,22.8,15.4,62.83,9.4,60.0,0.0
2/11/2015,Surin Rice research Center,14.908,103.506,26.4,33.1,31.3,13.5,34.62,5.4,144.4,0.0
2/12/2015,Surin Rice research Center,14.908,103.506,25.6,30.9,28.2,16.6,49.88,9.4,128.0,0.0
2/13/2015,Surin Rice research Center,14.908,103.506,25.7,33.0,30.8,15.8,41.25,14.0,164.0,0.0
2/14/2015,Surin Rice research Center,14.908,103.506,27.2,28.0,27.7,20.3,64.38,9.4,232.5,0.0
2/15/2015,Surin Rice research Center,14.908,103.506,27.6,27.6,27.6,20.5,65.58,0.0,90.0,0.0
2/16/2015,Surin Rice research Center,14.908,103.506,29.3,33.9,32.3,22.7,57.97,9.4,120.2,0.0
2/17/2015,Surin Rice research Center,14.908,103.506,26.5,31.8,29.1,19.6,57.13,10.9,35.0,0.0
2/18/2015,Surin Rice research Center,14.908,103.506,26.0,33.0,30.4,21.8,62.1,9.4,141.83,0.1
2/19/2015,Surin Rice research Center,14.908,103.506,24.6,30.0,28.4,20.1,61.45,9.4,95.0,0.35
2/20/2015,Surin Rice research Center,14.908,103.506,27.3,27.3,27.3,21.7,71.44,3.1,50.0,0.0
2/21/2015,Surin Rice research Center,14.908,103.506,26.5,33.0,29.9,21.8,62.79,14.8,185.0,9.59
2/22/2015,Surin Rice research Center,14.908,103.506,26.7,31.3,29.3,23.3,70.71,9.4,170.0,0.0
2/23/2015,Surin Rice research Center,14.908,103.506,29.0,34.6,32.6,20.7,50.65,9.4,140.0,0.0
2/24/2015,Surin Rice research Center,14.908,103.506,30.5,35.1,33.4,20.2,46.98,9.4,253.33,0.0
2/25/2015,Surin Rice research Center,14.908,103.506,29.8,29.8,29.8,20.8,58.68,12.1,299.0,0.0
2/26/2015,Surin Rice research Center,14.908,103.506,30.8,35.0,33.7,20.5,46.51,7.9,152.0,0.0
2/27/2015,Surin Rice research Center,14.908,103.506,27.0,34.7,31.6,22.5,60.11,11.2,183.33,0.0
2/28/2015,Surin Rice research Center,14.908,103.506,27.0,34.7,31.6,22.5,60.11,11.2,183.33,0.0
03/01/2015,Surin Rice research Center,14.908,103.506,29.5,36.1,34.6,21.2,46.87,8.4,164.5,0.0
03/02/2015,Surin Rice research Center,14.908,103.506,29.2,34.1,31.6,21.6,56.19,7.9,166.0,0.0
03/03/2015,Surin Rice research Center,14.908,103.506,30.2,37.0,34.6,21.2,46.74,11.2,178.2,0.0
03/04/2015,Surin Rice research Center,14.908,103.506,31.3,37.0,35.2,19.4,40.97,13.0,189.0,0.0
03/05/2015,Surin Rice research Center,14.908,103.506,31.3,31.3,31.3,23.6,63.81,6.4,150.0,0.0
03/06/2015,Surin Rice research Center,14.908,103.506,30.7,37.0,34.8,20.8,45.56,11.2,167.8,0.0
03/07/2015,Surin Rice research Center,14.908,103.506,31.1,34.8,33.0,22.7,55.16,6.4,175.0,0.0
03/08/2015,Surin Rice research Center,14.908,103.506,31.1,35.2,33.9,22.2,51.0,11.2,163.75,0.0
03/09/2015,Surin Rice research Center,14.908,103.506,32.1,37.0,35.1,20.2,42.62,7.6,157.75,0.0
03/10/2015,Surin Rice research Center,14.908,103.506,31.9,31.9,31.9,22.8,58.79,4.5,150.0,0.0
03/11/2015,Surin Rice research Center,14.908,103.506,30.5,35.0,33.7,20.5,46.17,12.4,170.0,0.0
03/12/2015,Surin Rice research Center,14.908,103.506,30.6,34.5,32.5,21.8,54.0,6.4,204.5,0.0
03/13/2015,Surin Rice research Center,14.908,103.506,30.5,35.0,33.8,22.1,51.2,9.4,175.0,0.0
03/14/2015,Surin Rice research Center,14.908,103.506,30.6,35.0,32.4,22.9,58.08,20.5,143.33,0.0
03/15/2015,Surin Rice research Center,14.908,103.506,29.5,29.5,29.5,23.4,69.87,1.5,140.0,0.0
03/16/2015,Surin Rice research Center,14.908,103.506,31.7,37.0,35.3,20.8,43.83,9.4,201.67,0.0
03/17/2015,Surin Rice research Center,14.908,103.506,31.1,35.1,33.1,23.2,56.74,6.4,205.0,0.0
03/18/2015,Surin Rice research Center,14.908,103.506,27.0,30.0,28.5,24.0,76.98,11.2,230.0,0.0
03/19/2015,Surin Rice research Center,14.908,103.506,30.6,37.0,35.0,21.7,47.9,13.0,166.67,0.0
03/20/2015,Surin Rice research Center,14.908,103.506,31.8,31.8,31.8,23.8,62.83,3.0,150.0,0.0
03/21/2015,Surin Rice research Center,14.908,103.506,25.6,29.6,27.9,23.8,78.58,11.2,110.6,29.65
03/22/2015,Surin Rice research Center,14.908,103.506,28.1,32.3,30.2,22.4,63.67,7.6,138.0,0.0
03/23/2015,Surin Rice research Center,14.908,103.506,30.5,34.2,33.4,18.7,42.73,9.4,127.8,0.0
03/24/2015,Surin Rice research Center,14.908,103.506,26.2,31.0,29.3,20.3,59.04,11.2,65.0,0.0
03/25/2015,Surin Rice research Center,14.908,103.506,28.1,28.1,28.1,21.7,68.53,0.0,100.0,0.0
03/26/2015,Surin Rice research Center,14.908,103.506,29.4,33.2,32.0,19.8,48.96,13.0,70.25,0.0
03/27/2015,Surin Rice research Center,14.908,103.506,28.8,31.9,30.4,20.8,56.78,6.4,133.5,0.0
03/28/2015,Surin Rice research Center,14.908,103.506,29.6,34.1,33.0,19.0,44.46,11.2,79.25,0.0
03/29/2015,Surin Rice research Center,14.908,103.506,30.6,34.0,32.9,21.1,50.82,7.6,205.5,0.8
03/30/2015,Surin Rice research Center,14.908,103.506,29.6,29.6,29.6,22.2,64.33,0.0,138.0,0.1
03/31/2015,Surin Rice research Center,14.908,103.506,31.0,37.0,35.0,20.6,43.97,11.2,208.0,0.0
04/01/2015,Surin Rice research Center,14.908,103.506,31.9,38.0,35.6,19.6,40.54,11.2,216.5,0.0
04/02/2015,Surin Rice research Center,14.908,103.506,31.0,37.0,34.4,20.1,41.84,16.6,155.75,0.0
04/03/2015,Surin Rice research Center,14.908,103.506,32.9,39.0,37.0,18.1,34.44,13.0,196.2,0.0
04/04/2015,Surin Rice research Center,14.908,103.506,33.4,39.0,36.8,13.9,26.9,13.0,180.0,0.0
04/05/2015,Surin Rice research Center,14.908,103.506,33.7,35.0,34.4,19.3,41.86,12.4,210.0,0.0
04/06/2015,Surin Rice research Center,14.908,103.506,33.7,39.3,37.4,18.8,34.41,11.2,182.0,0.0
04/07/2015,Surin Rice research Center,14.908,103.506,33.6,36.0,34.4,22.4,49.95,13.6,202.5,0.0
04/08/2015,Surin Rice research Center,14.908,103.506,30.3,35.0,32.5,21.3,52.26,10.9,71.5,0.8
04/09/2015,Surin Rice research Center,14.908,103.506,30.6,35.3,33.7,19.5,43.87,11.2,162.5,0.0
04/10/2015,Surin Rice research Center,14.908,103.506,31.7,31.7,31.7,22.7,58.89,6.4,140.0,0.0
04/11/2015,Surin Rice research Center,14.908,103.506,24.0,29.0,26.6,21.2,73.01,10.9,275.17,0.0
04/12/2015,Surin Rice research Center,14.908,103.506,27.5,33.3,30.3,19.9,54.75,16.6,130.33,0.0
04/13/2015,Surin Rice research Center,14.908,103.506,27.2,34.1,31.4,11.4,29.75,22.3,49.4,0.0
04/14/2015,Surin Rice research Center,14.908,103.506,26.5,33.0,30.1,15.1,40.88,16.6,48.8,0.0
04/15/2015,Surin Rice research Center,14.908,103.506,29.4,31.0,30.2,13.3,36.09,5.4,200.0,0.0
04/16/2015,Surin Rice research Center,14.908,103.506,31.6,38.0,36.2,13.1,26.31,7.9,223.67,0.0
04/17/2015,Surin Rice research Center,14.908,103.506,34.6,37.5,36.0,19.1,37.49,13.0,210.25,0.0
04/18/2015,Surin Rice research Center,14.908,103.506,33.6,39.0,37.3,18.9,35.06,16.6,214.6,0.0
04/19/2015,Surin Rice research Center,14.908,103.506,33.6,38.4,36.7,16.9,31.75,9.4,274.5,0.0
04/20/2015,Surin Rice research Center,14.908,103.506,34.9,38.0,36.5,17.6,33.56,16.0,221.0,0.0
04/21/2015,Surin Rice research Center,14.908,103.506,34.7,40.0,38.8,18.6,31.67,18.4,229.5,0.0
04/22/2015,Surin Rice research Center,14.908,103.506,28.8,34.9,32.4,21.3,53.49,11.2,168.25,4.0
04/23/2015,Surin Rice research Center,14.908,103.506,24.0,33.0,30.4,22.1,62.41,14.8,213.0,0.0
04/24/2015,Surin Rice research Center,14.908,103.506,30.6,34.0,32.0,22.2,57.0,7.9,186.2,0.31
04/25/2015,Surin Rice research Center,14.908,103.506,28.0,30.2,29.4,22.0,64.73,18.4,50.0,0.0
04/26/2015,Surin Rice research Center,14.908,103.506,30.6,35.3,33.6,21.0,48.24,14.8,68.75,0.0
04/27/2015,Surin Rice research Center,14.908,103.506,28.0,35.0,32.5,21.4,53.25,11.2,191.8,0.0
04/28/2015,Surin Rice research Center,14.908,103.506,26.1,37.0,33.2,21.1,52.24,11.2,261.13,27.0
04/29/2015,Surin Rice research Center,14.908,103.506,31.5,38.0,35.2,19.8,41.73,14.8,222.67,0.0
04/30/2015,Surin Rice research Center,14.908,103.506,31.6,35.0,33.3,22.5,54.06,13.0,195.0,0.0
05/01/2015,Surin Rice research Center,14.908,103.506,32.3,37.0,35.0,22.1,47.6,18.4,219.88,0.4
05/02/2015,Surin Rice research Center,14.908,103.506,32.8,36.1,34.7,21.8,47.36,11.2,207.5,0.0
05/03/2015,Surin Rice research Center,14.908,103.506,32.0,37.0,35.0,21.7,46.94,14.8,184.29,0.0
05/04/2015,Surin Rice research Center,14.908,103.506,32.1,37.0,35.0,21.3,45.83,14.8,203.8,0.0
05/05/2015,Surin Rice research Center,14.908,103.506,32.8,35.0,33.9,23.0,53.48,9.4,203.0,0.0
05/06/2015,Surin Rice research Center,14.908,103.506,29.8,38.0,34.5,22.5,51.44,16.6,221.2,7.0
05/07/2015,Surin Rice research Center,14.908,103.506,33.8,37.0,35.7,25.3,55.63,9.4,161.0,0.0
05/08/2015,Surin Rice research Center,14.908,103.506,31.4,35.3,33.8,24.3,58.2,11.2,219.83,0.0
05/09/2015,Surin Rice research Center,14.908,103.506,33.0,37.0,35.0,21.5,46.1,16.6,144.2,0.0
05/10/2015,Surin Rice research Center,14.908,103.506,30.4,31.0,30.7,24.9,71.16,7.6,260.0,0.0
05/11/2015,Surin Rice research Center,14.908,103.506,32.9,37.0,35.4,23.1,49.49,11.2,190.0,0.0
05/12/2015,Surin Rice research Center,14.908,103.506,34.0,36.3,35.1,23.3,50.58,9.4,214.75,0.0
05/13/2015,Surin Rice research Center,14.908,103.506,30.1,35.0,32.9,24.4,61.28,9.4,228.29,0.0
05/14/2015,Surin Rice research Center,14.908,103.506,31.1,37.0,33.8,25.5,62.4,13.0,172.0,0.0
05/15/2015,Surin Rice research Center,14.908,103.506,32.0,32.0,32.0,25.5,68.82,7.6,244.5,0.0
05/16/2015,Surin Rice research Center,14.908,103.506,32.9,36.1,34.8,24.1,54.82,9.4,210.17,0.0
05/17/2015,Surin Rice research Center,14.908,103.506,32.8,35.4,33.5,25.1,62.13,9.4,187.5,0.0
05/18/2015,Surin Rice research Center,14.908,103.506,31.0,37.0,34.1,25.7,62.94,18.4,223.0,0.0
05/19/2015,Surin Rice research Center,14.908,103.506,32.9,36.0,35.1,24.9,55.8,18.4,236.0,0.0
05/20/2015,Surin Rice research Center,14.908,103.506,32.6,32.6,32.6,23.7,59.86,0.0,0.0,0.0
05/21/2015,Surin Rice research Center,14.908,103.506,32.7,37.3,35.3,23.2,50.39,9.4,196.67,0.0
05/22/2015,Surin Rice research Center,14.908,103.506,32.6,36.1,34.4,22.9,51.62,15.4,218.0,0.0
05/23/2015,Surin Rice research Center,14.908,103.506,33.0,36.0,34.6,24.8,57.47,25.9,210.29,0.5
05/24/2015,Surin Rice research Center,14.908,103.506,32.6,35.6,34.2,26.3,64.0,22.3,231.5,0.0
05/25/2015,Surin Rice research Center,14.908,103.506,32.1,34.0,33.0,23.9,59.0,16.6,240.0,0.0
05/26/2015,Surin Rice research Center,14.908,103.506,32.2,36.0,34.7,23.7,53.22,22.3,218.29,0.0
05/27/2015,Surin Rice research Center,14.908,103.506,31.8,34.0,33.0,24.7,62.07,16.6,230.0,9.0
05/28/2015,Surin Rice research Center,14.908,103.506,33.5,37.7,35.8,23.4,49.33,18.4,221.57,0.0
05/29/2015,Surin Rice research Center,14.908,103.506,33.6,37.0,36.0,22.9,47.18,18.4,183.5,0.0
05/30/2015,Surin Rice research Center,14.908,103.506,33.3,35.0,34.2,23.4,53.56,16.6,225.0,0.0
05/31/2015,Surin Rice research Center,14.908,103.506,34.1,38.0,36.8,23.1,45.75,18.4,228.63,0.0
06/01/2015,Surin Rice research Center,14.908,103.506,32.8,40.0,36.8,23.8,47.91,18.4,205.13,0.0
06/02/2015,Surin Rice research Center,14.908,103.506,30.6,34.6,32.5,25.4,66.62,13.0,192.5,0.0
06/03/2015,Surin Rice research Center,14.908,103.506,29.5,35.0,32.7,24.2,61.65,18.4,251.0,3.66
06/04/2015,Surin Rice research Center,14.908,103.506,32.1,37.0,34.8,23.2,51.42,13.0,226.83,0.0
06/05/2015,Surin Rice research Center,14.908,103.506,33.9,35.0,34.4,24.3,55.75,9.4,240.0,0.0
06/06/2015,Surin Rice research Center,14.908,103.506,33.3,37.5,35.1,25.0,57.04,13.0,240.43,0.0
06/07/2015,Surin Rice research Center,14.908,103.506,30.0,35.6,31.9,25.6,70.91,7.9,220.0,0.0
06/08/2015,Surin Rice research Center,14.908,103.506,27.8,34.0,31.6,25.7,71.73,11.2,207.0,30.94
06/09/2015,Surin Rice research Center,14.908,103.506,27.0,37.0,33.7,25.4,62.8,16.6,219.86,0.0
06/10/2015,Surin Rice research Center,14.908,103.506,32.9,33.0,32.9,25.2,64.21,13.0,235.0,0.0
06/11/2015,Surin Rice research Center,14.908,103.506,32.9,38.0,36.4,25.5,54.37,18.4,215.13,0.0
06/12/2015,Surin Rice research Center,14.908,103.506,32.7,35.8,33.6,25.2,62.26,13.0,127.75,0.0
06/13/2015,Surin Rice research Center,14.908,103.506,28.0,34.4,32.2,24.1,62.93,27.7,239.0,0.0
06/14/2015,Surin Rice research Center,14.908,103.506,30.0,34.0,32.1,24.9,65.97,13.0,193.33,0.0
06/15/2015,Surin Rice research Center,14.908,103.506,29.0,29.1,29.1,23.4,71.43,6.4,105.0,0.0
06/16/2015,Surin Rice research Center,14.908,103.506,31.0,34.0,32.6,24.1,61.12,9.4,181.57,8.0
06/17/2015,Surin Rice research Center,14.908,103.506,28.9,33.0,30.9,24.6,69.25,11.2,185.0,0.0
06/18/2015,Surin Rice research Center,14.908,103.506,30.0,33.0,31.6,23.8,63.59,9.4,233.0,0.0
06/19/2015,Surin Rice research Center,14.908,103.506,30.9,35.0,32.3,22.6,57.21,14.8,253.33,0.0
06/20/2015,Surin Rice research Center,14.908,103.506,31.5,32.0,31.7,24.4,65.28,9.4,294.5,0.0
06/21/2015,Surin Rice research Center,14.908,103.506,30.8,35.7,33.8,24.9,60.12,22.3,252.71,0.0
06/22/2015,Surin Rice research Center,14.908,103.506,29.7,32.8,30.6,23.6,66.86,25.9,248.0,0.0
06/23/2015,Surin Rice research Center,14.908,103.506,27.6,29.5,28.6,25.1,82.03,18.4,198.71,1.21
06/24/2015,Surin Rice research Center,14.908,103.506,26.0,29.4,27.7,25.6,88.65,11.2,258.17,2.28
06/25/2015,Surin Rice research Center,14.908,103.506,26.0,31.0,28.2,24.3,80.05,25.9,240.0,0.0
06/26/2015,Surin Rice research Center,14.908,103.506,26.8,33.0,31.3,23.0,62.57,31.7,208.57,13.12
06/27/2015,Surin Rice research Center,14.908,103.506,30.3,33.0,31.7,23.0,60.59,29.5,196.75,0.0
06/28/2015,Surin Rice research Center,14.908,103.506,30.5,35.0,33.2,22.8,54.99,16.6,241.43,0.0
06/29/2015,Surin Rice research Center,14.908,103.506,30.3,36.0,33.2,23.2,56.58,11.2,244.83,0.0
06/30/2015,Surin Rice research Center,14.908,103.506,31.4,33.0,32.2,22.0,55.12,16.6,207.0,0.0
07/01/2015,Surin Rice research Center,14.908,103.506,32.0,38.0,35.1,20.6,43.43,14.8,230.0,0.0
07/02/2015,Surin Rice research Center,14.908,103.506,28.0,36.5,33.2,22.1,53.45,18.4,241.33,0.0
07/03/2015,Surin Rice research Center,14.908,103.506,30.0,31.0,30.5,24.5,70.38,16.6,225.0,0.0
07/04/2015,Surin Rice research Center,14.908,103.506,32.9,38.0,36.2,24.9,52.58,13.0,258.33,0.0
07/05/2015,Surin Rice research Center,14.908,103.506,30.0,34.0,32.1,24.7,65.54,10.3,218.33,0.0
07/06/2015,Surin Rice research Center,14.908,103.506,30.9,37.0,33.5,25.5,63.25,14.8,214.0,1.53
07/07/2015,Surin Rice research Center,14.908,103.506,31.8,35.7,33.9,24.4,58.8,11.2,204.25,0.0
07/08/2015,Surin Rice research Center,14.908,103.506,28.7,33.0,30.9,25.2,72.25,11.2,275.0,4.61
07/09/2015,Surin Rice research Center,14.908,103.506,26.0,28.3,26.7,25.0,90.46,9.4,290.2,4.69
07/10/2015,Surin Rice research Center,14.908,103.506,29.5,30.0,29.7,23.6,69.84,12.4,270.0,0.0
07/11/2015,Surin Rice research Center,14.908,103.506,31.3,36.0,33.8,25.4,62.05,13.0,238.33,0.0
07/12/2015,Surin Rice research Center,14.908,103.506,28.1,30.5,29.4,25.7,81.18,7.9,197.5,0.2
07/13/2015,Surin Rice research Center,14.908,103.506,30.0,32.5,31.1,26.0,74.75,14.8,175.71,0.9
07/14/2015,Surin Rice research Center,14.908,103.506,28.6,31.0,30.0,26.2,80.19,16.6,165.0,0.0
07/15/2015,Surin Rice research Center,14.908,103.506,29.0,29.6,29.3,25.4,79.81,14.8,230.5,0.0
07/16/2015,Surin Rice research Center,14.908,103.506,29.0,32.7,31.0,24.6,69.24,18.4,201.2,0.0
07/17/2015,Surin Rice research Center,14.908,103.506,27.0,30.1,28.5,25.3,83.46,11.2,225.25,0.1
07/18/2015,Surin Rice research Center,14.908,103.506,28.5,32.0,30.7,25.8,75.45,16.6,218.0,0.27
07/19/2015,Surin Rice research Center,14.908,103.506,27.0,28.6,27.6,25.0,85.92,14.8,221.5,1.01
07/20/2015,Surin Rice research Center,14.908,103.506,27.0,29.0,28.0,24.5,81.37,14.8,170.0,1.0
07/21/2015,Surin Rice research Center,14.908,103.506,25.0,30.7,28.4,24.2,78.4,25.9,185.56,0.0
07/22/2015,Surin Rice research Center,14.908,103.506,27.0,31.0,29.3,24.1,73.81,14.8,212.0,0.0
07/23/2015,Surin Rice research Center,14.908,103.506,26.0,27.0,26.5,25.0,91.54,13.0,245.0,0.0
07/24/2015,Surin Rice research Center,14.908,103.506,30.3,33.1,31.7,23.7,62.82,14.8,228.0,0.0
07/25/2015,Surin Rice research Center,14.908,103.506,29.0,30.7,29.8,23.9,70.58,11.2,240.5,0.0
07/26/2015,Surin Rice research Center,14.908,103.506,25.2,29.1,27.5,25.2,87.66,14.8,171.5,12.63
07/27/2015,Surin Rice research Center,14.908,103.506,25.0,28.0,26.7,24.9,90.18,18.4,175.0,0.5
07/28/2015,Surin Rice research Center,14.908,103.506,27.6,29.9,28.9,24.3,76.24,18.4,177.6,5.0
07/29/2015,Surin Rice research Center,14.908,103.506,25.7,28.0,27.0,23.7,82.04,14.8,150.2,0.5
07/30/2015,Surin Rice research Center,14.908,103.506,27.5,27.5,27.5,24.1,81.95,6.4,170.0,0.0
07/31/2015,Surin Rice research Center,14.908,103.506,26.0,28.1,27.4,23.9,81.34,7.9,190.0,0.0
08/01/2015,Surin Rice research Center,14.908,103.506,25.6,28.1,27.4,24.4,84.02,11.2,181.43,0.3
08/02/2015,Surin Rice research Center,14.908,103.506,27.0,28.6,27.8,24.3,81.73,13.0,210.0,0.4
08/03/2015,Surin Rice research Center,14.908,103.506,26.9,31.0,29.3,24.4,75.05,14.8,192.0,7.0
08/04/2015,Surin Rice research Center,14.908,103.506,29.0,32.0,30.8,24.7,70.22,13.0,250.0,0.0
08/05/2015,Surin Rice research Center,14.908,103.506,29.3,29.3,29.3,24.1,73.68,6.4,220.0,0.0
08/06/2015,Surin Rice research Center,14.908,103.506,29.9,32.0,31.1,24.5,68.25,13.0,213.33,0.0
08/07/2015,Surin Rice research Center,14.908,103.506,29.0,31.4,30.5,25.4,74.25,9.4,227.0,0.0
08/08/2015,Surin Rice research Center,14.908,103.506,25.0,25.0,25.0,25.0,100.0,9.4,220.0,0.0
08/09/2015,Surin Rice research Center,14.908,103.506,29.3,32.0,30.8,25.7,74.66,9.4,216.67,0.0
