date,address,latitude,longitude,mint,maxt,temp,dew,humidity,wspd,wdir,precip
01/01/2015,Ubon Ratchathani Rice research Center,15.334,104.683,18.0,28.0,24.9,12.1,45.84,25.9,27.7,0.0
01/02/2015,Ubon Ratchathani Rice research Center,15.334,104.683,17.0,27.4,23.5,12.8,52.51,18.4,25.67,0.0
01/03/2015,Ubon Ratchathani Rice research Center,15.334,104.683,19.0,22.0,20.5,16.5,78.48,11.2,20.0,0.0
01/04/2015,Ubon Ratchathani Rice research Center,15.334,104.683,19.0,31.0,27.1,16.8,55.49,9.4,119.38,0.0
01/05/2015,Ubon Ratchathani Rice research Center,15.334,104.683,24.0,32.0,27.9,18.2,56.93,5.4,110.0,0.0
01/06/2015,Ubon Ratchathani Rice research Center,15.334,104.683,24.0,34.0,30.8,18.3,49.02,7.6,125.0,0.0
01/07/2015,Ubon Ratchathani Rice research Center,15.334,104.683,23.0,33.1,29.0,20.7,62.33,9.4,39.33,0.0
01/08/2015,Ubon Ratchathani Rice research Center,15.334,104.683,24.0,26.0,25.0,16.0,57.51,14.8,40.0,0.0
01/09/2015,Ubon Ratchathani Rice research Center,15.334,104.683,22.0,31.0,27.6,16.6,52.36,14.8,45.0,0.0
01/10/2015,Ubon Ratchathani Rice research Center,15.334,104.683,21.0,27.0,24.4,15.5,58.24,14.8,31.75,0.0
01/11/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,27.0,24.6,14.9,55.45,13.0,118.6,0.0
01/12/2015,Ubon Ratchathani Rice research Center,15.334,104.683,18.0,26.8,22.9,12.5,52.84,16.6,77.5,0.0
01/13/2015,Ubon Ratchathani Rice research Center,15.334,104.683,18.0,19.0,18.5,11.0,61.69,20.5,25.0,0.0
01/14/2015,Ubon Ratchathani Rice research Center,15.334,104.683,17.0,27.0,23.3,8.4,39.63,18.4,39.5,0.0
01/15/2015,Ubon Ratchathani Rice research Center,15.334,104.683,17.0,23.0,19.9,10.4,55.1,16.6,29.5,0.0
01/16/2015,Ubon Ratchathani Rice research Center,15.334,104.683,15.0,27.2,23.5,8.9,41.61,20.5,32.7,0.0
01/17/2015,Ubon Ratchathani Rice research Center,15.334,104.683,17.0,27.5,22.9,13.9,58.15,18.4,78.5,0.0
01/18/2015,Ubon Ratchathani Rice research Center,15.334,104.683,18.0,21.0,19.5,13.5,68.85,14.8,10.0,0.0
01/19/2015,Ubon Ratchathani Rice research Center,15.334,104.683,19.0,28.0,25.1,14.5,53.57,19.6,28.25,0.0
01/20/2015,Ubon Ratchathani Rice research Center,15.334,104.683,18.0,26.0,21.9,12.1,55.2,11.2,74.0,0.0
01/21/2015,Ubon Ratchathani Rice research Center,15.334,104.683,18.0,31.3,27.5,12.1,41.58,14.8,147.88,0.0
01/22/2015,Ubon Ratchathani Rice research Center,15.334,104.683,17.0,28.8,23.8,11.6,48.95,13.0,37.0,0.0
01/23/2015,Ubon Ratchathani Rice research Center,15.334,104.683,19.0,22.0,20.5,15.0,71.06,7.6,120.0,0.0
01/24/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,32.0,27.9,15.0,47.9,11.2,150.63,0.0
01/25/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,28.0,24.4,16.8,64.25,6.0,145.0,0.0
01/26/2015,Ubon Ratchathani Rice research Center,15.334,104.683,25.4,33.3,31.4,12.7,33.41,7.6,153.86,0.0
01/27/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,32.9,27.9,14.8,48.0,9.4,162.0,0.0
01/28/2015,Ubon Ratchathani Rice research Center,15.334,104.683,22.0,25.0,23.5,16.5,65.34,5.4,125.0,0.0
01/29/2015,Ubon Ratchathani Rice research Center,15.334,104.683,22.0,33.0,28.9,15.2,45.7,9.4,112.13,0.0
01/30/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,30.0,25.0,17.0,63.47,7.6,112.5,0.0
01/31/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,36.0,28.8,15.1,45.9,11.2,51.6,0.0
02/01/2015,Ubon Ratchathani Rice research Center,15.334,104.683,19.0,31.3,27.6,12.2,40.19,13.0,37.7,0.0
02/02/2015,Ubon Ratchathani Rice research Center,15.334,104.683,22.0,31.1,27.5,16.6,52.96,11.2,20.2,0.0
02/03/2015,Ubon Ratchathani Rice research Center,15.334,104.683,22.0,22.0,22.0,16.0,68.77,13.0,30.0,0.0
02/04/2015,Ubon Ratchathani Rice research Center,15.334,104.683,21.0,32.0,27.7,12.9,42.77,18.4,37.38,0.0
02/05/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,28.0,24.2,14.3,55.96,14.8,49.75,0.0
02/06/2015,Ubon Ratchathani Rice research Center,15.334,104.683,19.0,31.0,27.0,13.6,45.28,18.4,40.44,0.0
02/07/2015,Ubon Ratchathani Rice research Center,15.334,104.683,17.0,29.0,24.0,13.6,54.68,6.4,132.5,0.0
02/08/2015,Ubon Ratchathani Rice research Center,15.334,104.683,19.0,23.0,21.0,15.5,71.17,14.8,35.0,0.0
02/09/2015,Ubon Ratchathani Rice research Center,15.334,104.683,18.0,30.0,25.6,12.9,47.13,11.2,49.5,0.0
02/10/2015,Ubon Ratchathani Rice research Center,15.334,104.683,18.0,26.0,22.7,14.2,59.8,11.2,62.33,0.0
02/11/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,32.0,28.6,12.3,38.5,9.4,161.3,0.0
02/12/2015,Ubon Ratchathani Rice research Center,15.334,104.683,20.0,30.0,25.9,16.4,57.07,9.4,73.5,0.0
02/13/2015,Ubon Ratchathani Rice research Center,15.334,104.683,22.0,24.0,23.0,15.0,60.83,11.2,150.0,0.0
02/14/2015,Ubon Ratchathani Rice research Center,15.334,104.683,22.0,32.0,28.0,17.8,55.04,11.2,176.38,0.0
02/15/2015,Ubon Ratchathani Rice research Center,15.334,104.683,26.8,28.0,27.4,19.7,63.0,5.6,158.5,0.0
02/16/2015,Ubon Ratchathani Rice research Center,15.334,104.683,23.0,33.4,29.8,18.3,52.05,9.4,144.0,0.0
02/17/2015,Ubon Ratchathani Rice research Center,15.334,104.683,25.0,32.0,28.7,18.4,54.23,9.4,153.4,0.0
02/18/2015,Ubon Ratchathani Rice research Center,15.334,104.683,24.0,26.0,25.0,19.0,69.49,7.6,95.0,0.0
02/19/2015,Ubon Ratchathani Rice research Center,15.334,104.683,22.0,26.0,24.1,21.0,83.76,5.4,74.83,1.4
02/20/2015,Ubon Ratchathani Rice research Center,15.334,104.683,23.0,29.0,26.6,20.5,70.65,9.4,123.25,0.0
02/21/2015,Ubon Ratchathani Rice research Center,15.334,104.683,23.0,31.0,26.6,22.1,79.26,5.5,150.3,1.9
02/22/2015,Ubon Ratchathani Rice research Center,15.334,104.683,23.0,32.0,28.0,22.1,72.5,9.4,118.6,1.52
02/23/2015,Ubon Ratchathani Rice research Center,15.334,104.683,25.0,27.0,26.0,21.0,74.12,9.4,60.0,0.0
02/24/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,36.0,32.9,20.4,49.3,11.2,175.6,0.0
02/25/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,33.0,30.0,21.7,61.74,11.2,185.0,0.0
02/26/2015,Ubon Ratchathani Rice research Center,15.334,104.683,26.0,35.0,31.6,21.4,56.14,9.4,156.9,0.0
02/27/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,33.8,30.7,21.7,59.46,9.4,164.83,0.0
02/28/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,30.0,28.5,21.5,66.36,5.4,160.0,0.0
03/01/2015,Ubon Ratchathani Rice research Center,15.334,104.683,28.0,36.0,32.8,22.3,54.99,7.6,115.0,0.0
03/02/2015,Ubon Ratchathani Rice research Center,15.334,104.683,26.0,34.1,30.7,18.2,47.85,12.7,167.0,0.0
03/03/2015,Ubon Ratchathani Rice research Center,15.334,104.683,28.0,30.0,29.0,23.0,70.24,9.4,205.0,0.0
03/04/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,37.0,32.8,21.3,52.1,9.4,188.25,0.0
03/05/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,34.0,30.4,22.3,62.94,8.6,170.75,0.0
03/06/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,37.0,33.3,21.2,50.44,7.7,167.6,0.0
03/07/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,33.0,30.3,21.0,58.41,11.2,149.83,0.0
03/08/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,28.0,27.5,19.5,61.73,11.2,160.0,0.0
03/09/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,36.0,32.6,20.9,51.17,7.6,157.25,0.0
03/10/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,32.0,29.3,20.0,57.29,9.4,180.0,0.0
03/11/2015,Ubon Ratchathani Rice research Center,15.334,104.683,26.0,34.4,31.4,17.6,44.1,7.6,158.7,0.0
03/12/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,33.9,30.7,16.9,44.08,7.6,177.5,0.0
03/13/2015,Ubon Ratchathani Rice research Center,15.334,104.683,27.0,29.0,28.0,19.5,59.98,13.0,150.0,0.0
03/14/2015,Ubon Ratchathani Rice research Center,15.334,104.683,28.0,34.0,31.4,22.0,58.05,9.7,191.25,0.0
03/15/2015,Ubon Ratchathani Rice research Center,15.334,104.683,26.0,33.0,29.1,22.0,67.09,9.4,133.75,0.0
03/16/2015,Ubon Ratchathani Rice research Center,15.334,104.683,28.0,36.3,33.6,22.3,52.67,14.8,194.4,0.0
03/17/2015,Ubon Ratchathani Rice research Center,15.334,104.683,28.0,35.6,32.2,22.0,55.85,9.6,183.33,0.0
03/18/2015,Ubon Ratchathani Rice research Center,15.334,104.683,28.0,30.0,29.0,22.0,66.1,7.6,155.0,0.0
03/19/2015,Ubon Ratchathani Rice research Center,15.334,104.683,28.0,37.0,33.3,20.2,47.33,11.2,170.63,0.0
03/20/2015,Ubon Ratchathani Rice research Center,15.334,104.683,29.0,33.0,31.1,22.5,60.34,9.4,163.25,0.0
03/21/2015,Ubon Ratchathani Rice research Center,15.334,104.683,25.0,33.0,30.2,21.6,60.71,11.2,151.9,0.0
03/22/2015,Ubon Ratchathani Rice research Center,15.334,104.683,25.0,33.2,29.7,20.6,59.97,7.6,134.0,0.0
03/23/2015,Ubon Ratchathani Rice research Center,15.334,104.683,25.0,28.0,26.5,17.5,57.87,9.4,150.0,0.0
03/24/2015,Ubon Ratchathani Rice research Center,15.334,104.683,26.0,34.0,30.9,19.0,50.11,13.0,58.25,0.0
03/25/2015,Ubon Ratchathani Rice research Center,15.334,104.683,26.0,29.4,27.7,18.9,58.98,11.2,47.0,0.0
